NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
43.5,581897,52767,2323702,1571282,79741,921878,445363,
44.5,622135,97467,2183295,1818347,113730,966995,436306,
45.5,668125,163976,1978378,1987812,155681,990794,415603,
46.5,719809,254160,1732274,2065989,205383,995523,383318,
47.5,776921,366788,1469195,2054443,262119,985893,341042,
48.5,838942,497572,1210551,1966857,324743,967733,292257,
49.5,905067,639995,972533,1823730,391784,946622,242238,
50.5,974190,786544,765182,1647056,461586,926912,197893,
51.5,1044920,929941,592756,1456429,532437,911297,167388,
52.5,1115630,1064044,454956,1267000,602687,900863,157250,
53.5,1184534,1184320,348489,1089027,670839,895442,166449,
54.5,1249795,1287920,268566,928432,735606,894064,186977,
55.5,1309651,1373469,210065,787797,795945,895385,211105,
56.5,1362538,1440740,168281,667422,851067,898010,234331,
57.5,1407202,1490295,139314,566226,900426,900693,254534,
58.5,1442779,1523184,120193,482421,943701,902456,270862,
59.5,1468845,1540715,108851,413964,980769,902629,283085,
60.5,1485419,1544311,104062,358844,1011674,900862,291263,
61.5,1492933,1535426,105384,315245,1036603,897118,295576,
62.5,1492170,1515520,113167,281629,1055854,891668,296223,
63.5,1484188,1486050,128656,256781,1069813,885097,293356,
64.5,1470223,1448472,154188,239839,1078930,878330,287027,
65.5,1451608,1404251,193493,230325,1083701,872676,277143,
66.5,1429693,1354852,252032,228192,1084653,869884,263459,
67.5,1405781,1301724,337225,233904,1082323,872191,245659,
68.5,1381078,1246276,458276,248563,1077254,882290,223683,
69.5,1356665,1189846,625186,274088,1069979,903153,198581,
70.5,1333475,1133671,846487,313466,1061015,937623,174390,
71.5,1312290,1078855,1125611,371069,1050857,987736,160765,
72.5,1293743,1026357,1456514,452973,1039973,1053912,170542,
73.5,1278325,976974,1820232,567187,1028805,1134304,206003,
74.5,1266397,931345,2184615,723529,1017760,1224729,255268,
75.5,1258200,889957,2508849,932781,1007220,1319401,304129,
76.5,1253869,853166,2752323,1204650,997535,1412309,342676,
77.5,1253445,821214,2884920,1544226,989031,1498567,367599,
78.5,1256881,794255,2894635,1947170,982010,1574990,383559,
79.5,1264052,772376,2789490,2394959,976754,1639526,401578,
80.5,1274758,755624,2593498,2852561,973527,1689994,431664,
81.5,1288732,744026,2338990,3271222,972583,1723111,473632,
82.5,1305645,737601,2058620,3597478,974164,1734702,516313,
83.5,1325106,736384,1779552,3786434,978507,1721196,545296,
84.5,1346675,740426,1520773,3814309,985842,1681605,550290,
85.5,1369866,749811,1293085,3684785,996400,1618789,528151,
86.5,1394155,764655,1100686,3426471,1010406,1539275,482425,
87.5,1418995,785113,943280,3083195,1028086,1451734,421018,
88.5,1443829,811373,818036,2701825,1049659,1364945,353442,
89.5,1468097,843656,721060,2322381,1075337,1286106,288656,
90.5,1491262,882205,648357,1972900,1105317,1220008,233931,
91.5,1512817,927284,596369,1668901,1139773,1169029,194332,
92.5,1532303,979153,562231,1415768,1178851,1133661,171893,
93.5,1549323,1038061,543848,1212153,1222648,1113207,164588,
94.5,1563554,1104220,539879,1053105,1271204,1106392,167323,
95.5,1574754,1177778,549682,932353,1324481,1111810,174941,
96.5,1582768,1258795,573245,843705,1382346,1128172,184009,
97.5,1587536,1347203,611095,781742,1444554,1154426,192746,
98.5,1589087,1442777,664198,742058,1510727,1189769,200394,
99.5,1587536,1545093,733823,721239,1580341,1233607,206739,
100.5,1583083,1653492,821360,716720,1652715,1285474,211867,
101.5,1575998,1767049,928067,726588,1727009,1344942,216065,
