NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
46.5,69962,24464,4015,0,0,19688,13363,
47.5,82892,60913,4795,1,1,29720,17590,
48.5,96250,132151,5701,5,4,46822,28106,
49.5,109915,252600,6757,19,11,73860,49324,
50.5,123823,430119,7993,63,27,112405,82832,
51.5,137962,659542,9445,189,61,161440,127241,
52.5,152372,920404,11160,518,126,216916,178217,
53.5,167130,1180942,13192,1310,240,272563,229268,
54.5,182345,1406850,15610,3056,425,321657,273442,
55.5,198157,1570708,18497,6602,710,358934,305172,
56.5,214724,1658141,21951,13247,1125,381837,321496,
57.5,232230,1669023,26095,24782,1706,390767,322287,
58.5,250880,1614495,31074,43402,2491,388468,309665,
59.5,270904,1511985,37064,71461,3526,378988,287038,
60.5,292563,1380344,44272,111101,4861,366628,258185,
61.5,316147,1236352,52949,163834,6554,355167,226659,
62.5,341988,1092941,63391,230202,8675,347439,195575,
63.5,370461,958830,75948,309606,11307,345230,167694,
64.5,401992,839024,91033,400367,14545,349392,145598,
65.5,437062,735704,109132,499995,18500,360079,131577,
66.5,476214,649152,130815,605585,23300,377013,126861,
67.5,520054,578536,156747,714248,29087,399735,130727,
68.5,569255,522501,187704,823480,36017,427792,140833,
69.5,624554,479569,224580,931409,44262,460875,154587,
70.5,686744,448389,268407,1036914,54004,498892,170052,
71.5,756667,427888,320356,1139622,65433,541993,186078,
72.5,835189,417353,381741,1239819,78752,590571,202106,
73.5,923172,416485,454017,1338314,94172,645232,217964,
74.5,1021438,425444,538752,1436284,111919,706767,233712,
75.5,1130713,444904,637598,1535121,132237,776115,249529,
76.5,1251562,476119,752227,1636304,155401,854323,265636,
77.5,1384318,521025,884253,1741281,181728,942521,282229,
78.5,1528997,582368,1035130,1851378,211592,1041893,299428,
79.5,1685211,663862,1206028,1967718,245449,1153654,317232,
80.5,1852094,770370,1397704,2091155,283859,1279036,335495,
81.5,2028232,908095,1610363,2222216,327511,1419283,353929,
82.5,2211632,1084735,1843541,2361048,377252,1575642,372172,
83.5,2399719,1309554,2096008,2507380,434119,1749356,389937,
84.5,2589387,1593262,2365715,2660498,499370,1941647,407289,
85.5,2777097,1947609,2649784,2819242,574511,2153648,425087,
86.5,2959026,2384519,2944552,2982025,661324,2386289,445539,
87.5,3131258,2914644,3245666,3146890,761890,2640070,472643,
88.5,3290001,3545244,3548213,3311597,878593,2914729,512007,
89.5,3431810,4277435,3846886,3473738,1014111,3208796,569461,
90.5,3553792,5103063,4136169,3630885,1171375,3519057,648661,
91.5,3653774,6001726,4410530,3780738,1353486,3840051,748983,
92.5,3730413,6938738,4664616,3921284,1563578,4163726,864838,
93.5,3783240,7864973,4893451,4050929,1804613,4479441,986313,
94.5,3812644,8719419,5092621,4168604,2079092,4774476,1100479,
95.5,3819786,9434828,5258448,4273820,2388680,5035112,1193054,
96.5,3806472,9946065,5388148,4366684,2733755,5248225,1250352,
97.5,3774997,10199892,5479961,4447860,3112896,5403121,1261415,
98.5,3727971,10164157,5533237,4518489,3522363,5493244,1220036,
99.5,3668160,9834163,5548472,4580074,3955631,5517300,1126339,
100.5,3598327,9234459,5527287,4634350,4403074,5479499,987770,
101.5,3521117,8415405,5472343,4683134,4851900,5388780,819810,
102.5,3438958,7445214,5387189,4728190,5286429,5257196,647727,
103.5,3353996,6399389,5276065,4771088,5688783,5097864,511017,
104.5,3268057,5350008,5143675,4813085,6040005,4922966,459872,
105.5,3182631,4357102,4994937,4855024,6321533,4742245,507516,
106.5,3098879,3463536,4834748,4897247,6516894,4562261,606454,
107.5,3017643,2693699,4667777,4939533,6613394,4386409,710048,
108.5,2939478,2055359,4498292,4981053,6603569,4215550,795718,
109.5,2864681,1543489,4330040,5020353,6486127,4048938,855637,
110.5,2793324,1144769,4166177,5055370,6266243,3885177,889375,
111.5,2725292,841761,4009237,5083479,5955109,3722976,900336,
112.5,2660318,616156,3861146,5101588,5568814,3561604,893816,
113.5,2598022,450903,3723264,5106271,5126729,3401038,875722,
114.5,2537943,331347,3596439,5093960,4649643,3241866,851600,
115.5,2479574,245601,3481078,5061170,4157942,3085073,825895,
116.5,2422399,184433,3377218,5004760,3670045,2931771,801501,
117.5,2365924,140919,3284592,4922207,3201293,2782987,779658,
118.5,2309702,109996,3202696,4811857,2763335,2639517,760224,
119.5,2253365,88038,3130837,4673142,2364000,2501877,742205,
120.5,2196645,72492,3068186,4506715,2007563,2370320,724326,
121.5,2139383,61580,3013810,4314492,1695281,2244909,705497,
122.5,2081546,54089,2966709,4099584,1426065,2125599,685074,
123.5,2023222,49203,2925839,3866124,1197169,2012312,662930,
124.5,1964617,46401,2890137,3619001,1004830,1904997,639396,
125.5,1906041,45378,2858536,3363538,844792,1803657,615120,
126.5,1847888,46006,2829987,3105150,712707,1708348,590901,
127.5,1790616,48308,2803472,2849010,604413,1619164,567530,
128.5,1734723,52453,2778021,2599776,516105,1536215,545657,
129.5,1680716,58771,2752724,2361385,444422,1459604,525699,
130.5,1629098,67777,2726748,2136930,386476,1389406,507804,
131.5,1580339,80212,2699349,1928624,339834,1325672,491856,
132.5,1534866,97096,2669882,1737836,302486,1268433,477518,
133.5,1493051,119794,2637810,1565173,272797,1217725,464301,
134.5,1455200,150090,2602718,1410610,249452,1173614,451634,
135.5,1421557,190246,2564307,1273619,231410,1136228,438935,
136.5,1392300,243057,2522406,1153316,217861,1105788,425669,
137.5,1367543,311845,2476965,1048580,208183,1082623,411417,
138.5,1347344,400387,2428050,958166,201916,1067173,395957,
139.5,1331706,512730,2375837,880790,198734,1059959,379384,
140.5,1320583,652871,2320598,815193,198422,1061533,362284,
141.5,1313885,824285,2262692,760195,200866,1072385,345956,
142.5,1311480,1029325,2202548,714713,206039,1092821,332617,
143.5,1313200,1268541,2140644,677790,213988,1122833,325382,
144.5,1318837,1540032,2077500,648593,224836,1161960,327682,
145.5,1328150,1838948,2013651,626420,238771,1209188,341997,
146.5,1340864,2157283,1949638,610689,256045,1262904,368561,
147.5,1356671,2484088,1885994,600936,276973,1320932,405077,
148.5,1375230,2806117,1823226,596802,301925,1380660,447545,
149.5,1396174,3108899,1761810,598025,331329,1439248,491364,
150.5,1419110,3378085,1702184,604426,365664,1493894,532128,
