NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
43.5,102911,128994,163,1163319,0,279077,222612,
44.5,116836,137149,215,1371459,0,325132,263136,
45.5,130896,142856,280,1555421,0,365891,298956,
46.5,144761,146226,364,1706545,0,399579,328353,
47.5,158111,147517,470,1819850,0,425190,350334,
48.5,170668,147091,607,1893626,0,442398,364555,
49.5,182216,145355,783,1928755,0,451422,371182,
50.5,192618,142731,1009,1927992,0,452870,370754,
51.5,201820,139616,1302,1895342,0,447616,364057,
52.5,209848,136370,1681,1835582,0,436696,352028,
53.5,216795,133303,2170,1753909,0,421235,335691,
54.5,222805,130680,2802,1655662,0,402390,316098,
55.5,228055,128718,3616,1546100,0,381298,294285,
56.5,232738,127602,4661,1430200,0,359040,271237,
57.5,237045,127487,5997,1312482,2,336603,247849,
58.5,241157,128518,7696,1196867,4,314848,224897,
59.5,245231,130832,9843,1086580,7,294499,203022,
60.5,249400,134574,12540,984105,13,276127,182716,
61.5,253770,139905,15905,891208,24,260162,164325,
62.5,258420,147014,20071,809001,42,246910,148064,
63.5,263405,156123,25194,738056,76,236571,134031,
64.5,268763,167508,31449,678534,135,229278,122239,
65.5,274516,181504,39034,630336,238,225126,112637,
66.5,280684,198523,48172,593234,417,224206,105143,
67.5,287282,219071,59116,567002,727,226640,99670,
68.5,294337,243766,72153,551527,1258,232608,96154,
69.5,301889,273355,87607,546901,2156,242382,94577,
70.5,309997,308729,105842,553502,3657,256345,94981,
71.5,318745,350934,127263,572060,6129,275026,97479,
72.5,328246,401166,152317,603701,10128,299112,102249,
73.5,338642,460754,181483,649977,16465,329464,109526,
74.5,350103,531113,215258,712841,26281,367119,119570,
75.5,362827,613662,254135,794574,41104,413260,132651,
76.5,377037,709705,298570,897614,62870,469159,149012,
77.5,392973,820272,348944,1024264,93874,536065,168839,
78.5,410890,945916,405511,1176263,136612,615039,192214,
79.5,431048,1086501,468355,1354228,193494,706725,219056,
80.5,453701,1240993,537341,1557028,266427,811098,249054,
81.5,479091,1407299,612086,1781217,356318,927202,281589,
82.5,507427,1582194,691942,2020690,462571,1052965,315681,
