NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
42.5,16004,11950,107760,9349,68083,42629,19555,
43.5,17051,14493,102741,7984,68476,42149,18610,
44.5,17793,17504,99893,6810,69109,42222,18042,
45.5,18272,21102,99065,5822,70088,42870,17819,
46.5,18549,25440,100075,5005,71508,44115,17908,
47.5,18691,30705,102720,4341,73454,45982,18284,
48.5,18768,37126,106772,3811,76002,48496,18924,
49.5,18848,44973,111959,3396,79228,51681,19807,
50.5,18993,54558,117947,3083,83214,55559,20915,
51.5,19261,66238,124334,2859,88052,60149,22237,
52.5,19708,80408,130665,2718,93859,65472,23782,
53.5,20389,97500,136463,2657,100785,71559,25598,
54.5,21368,117970,141290,2680,109032,78468,27790,
55.5,22712,142286,144816,2797,118863,86295,30525,
56.5,24509,170916,146878,3030,130627,95192,34023,
57.5,26861,204300,147525,3417,144775,105376,38520,
58.5,29900,242816,147024,4018,161882,117128,44214,
59.5,33792,286731,145831,4933,182668,130791,51227,
60.5,38746,336132,144538,6323,208018,146752,59586,
61.5,45026,390842,143826,8451,238999,165429,69220,
62.5,52959,450321,144417,11747,276859,187261,79971,
63.5,62948,513569,147077,16903,323012,212702,91586,
64.5,75481,579065,152629,25031,378993,242240,103723,
65.5,91138,644760,162019,37869,446366,276430,115948,
66.5,110592,708170,176388,58033,526584,315954,127745,
67.5,134595,766570,197173,89264,620800,361680,138550,
68.5,163955,817289,226195,136522,729623,414717,147825,
69.5,199489,858063,265723,205714,852870,476372,155199,
70.5,241949,887362,318477,302810,989328,547985,160686,
71.5,291935,904632,387495,432218,1136600,630576,164966,
72.5,349773,910373,475815,594615,1291075,724330,169513,
73.5,415403,906049,585928,784928,1448064,828074,176247,
74.5,488269,893857,719018,991448,1602099,938938,186553,
75.5,567258,876418,874138,1196926,1747377,1052423,200249,
76.5,650694,856460,1047580,1381720,1878276,1162946,215546,
77.5,736425,836565,1232748,1528078,1989870,1264737,230069,
78.5,821983,818999,1420751,1624026,2078352,1352822,242004,
79.5,904817,805641,1601691,1665486,2141312,1423789,250634,
80.5,982553,797977,1766331,1656104,2177848,1476163,256176,
81.5,1053248,797151,1907622,1605247,2188498,1510353,259259,
82.5,1115578,804031,2021647,1525176,2175043,1528295,260440,
83.5,1168947,819267,2107758,1428402,2140223,1532920,259996,
84.5,1213503,843346,2167981,1325842,2087411,1527617,257977,
85.5,1250057,876608,2205997,1225921,2020297,1515776,254372,
86.5,1279957,919245,2226023,1134454,1942614,1500459,249232,
87.5,1304918,971275,2231866,1055001,1857915,1484195,242705,
88.5,1326858,1032491,2226282,989418,1769421,1468894,234997,
89.5,1347754,1102406,2210668,938428,1679924,1455836,226306,
90.5,1369527,1180188,2185061,902095,1591745,1445723,216771,
91.5,1393964,1264609,2148375,880175,1506736,1438772,206461,
92.5,1422659,1354016,2098832,872354,1426307,1434834,195452,
93.5,1456989,1446335,2034524,878375,1351472,1433539,183962,
