NTA Experiment Summary File,
67.5,2208,0,7962,0,2543,1880,
68.5,1952,0,9159,0,2778,2176,
69.5,1753,0,10367,0,3030,2480,
70.5,1609,0,11560,0,3292,2782,
71.5,1517,0,12714,0,3558,3073,
72.5,1474,0,13805,0,3820,3346,
73.5,1482,0,14814,0,4074,3597,
74.5,1546,0,15726,0,4318,3820,
75.5,1675,2,16531,0,4552,4012,
76.5,1888,6,17223,0,4779,4172,
77.5,2210,17,17800,0,5007,4296,
78.5,2686,48,18265,0,5250,4383,
79.5,3379,127,18621,0,5532,4433,
80.5,4387,316,18879,0,5896,4442,
81.5,5853,746,19047,0,6411,4408,
82.5,7984,1656,19137,0,7194,4337,
83.5,11080,3451,19162,0,8423,4263,
84.5,15550,6740,19135,0,10356,4324,
85.5,21943,12332,19069,0,13336,4880,
86.5,30944,21136,18978,0,17765,6469,
87.5,43356,33962,18874,0,24048,9470,
88.5,60015,51232,18771,0,32504,14002,
89.5,81644,72699,18678,0,43255,20033,
90.5,108633,97281,18610,0,56131,27399,
91.5,140781,123114,18575,0,70618,35794,
92.5,177057,147842,18585,0,85871,44774,
93.5,215476,169071,18651,0,100799,53790,
94.5,253189,184839,18782,0,114203,62219,
95.5,286816,193972,18990,0,124945,69405,
96.5,312990,196213,19285,0,132122,74727,
97.5,328992,192141,19678,0,135203,77686,
98.5,333283,182932,20183,0,134100,78006,
99.5,325781,170063,20811,0,129164,75694,
100.5,307810,155029,21579,0,121105,71052,
101.5,281752,139154,22502,3,110853,64615,
102.5,250527,123478,23598,11,99403,57040,
103.5,217064,108726,24887,33,87678,48997,
104.5,183884,95341,26391,98,76428,41064,
105.5,152862,83536,28134,265,66199,33674,
106.5,125172,73357,30144,668,57335,27094,
107.5,101355,64741,32448,1569,50028,21425,
108.5,81472,57563,35077,3435,44387,16615,
109.5,65263,51674,38064,7024,40506,12465,
110.5,52290,46918,41444,13436,38522,8650,
111.5,42054,43153,45250,24091,38637,4894,
112.5,34061,40252,49517,40578,41102,3181,
113.5,27865,38112,54280,64352,46152,8146,
114.5,23088,36649,59569,96324,53908,16018,
115.5,19419,35806,65414,136437,64269,25870,
116.5,16613,35542,71839,183376,76843,37314,
117.5,14478,35838,78864,234533,90928,49705,
118.5,12869,36695,86499,286287,105588,62155,
119.5,11676,38131,94750,334552,119777,73658,
120.5,10817,40183,103612,375444,132514,83259,
121.5,10234,42907,113072,405906,143030,90213,
122.5,9887,46377,123105,424130,150875,94091,
123.5,9747,50690,133678,429695,155952,94819,
124.5,9800,55962,144749,423447,158490,92652,
125.5,10038,62333,156268,407182,158955,88098,
126.5,10464,69967,168173,383248,157963,81832,
127.5,11086,79050,180401,354149,156172,74599,
128.5,11921,89792,192880,322243,154209,67160,
129.5,12992,102426,205537,289530,152621,60249,
130.5,14330,117202,218293,257564,151847,54545,
131.5,15972,134385,231071,227440,152217,50627,
132.5,17962,154249,243794,199838,153961,48879,
133.5,20352,177064,256385,175100,157225,49396,
134.5,23201,203088,268772,153316,162094,51985,
135.5,26575,232551,280882,134401,168602,56301,
136.5,30544,265637,292648,118161,176748,62009,
137.5,35185,302469,304007,104345,186501,68861,
138.5,40576,343086,314898,92678,197809,76697,
139.5,46796,387423,325264,82892,210594,85418,
140.5,53923,435289,335052,74733,224749,94947,
141.5,62028,486353,344214,67975,240143,105205,
142.5,71174,540129,352704,62421,256607,116087,
143.5,81411,595968,360481,57901,273940,127453,
144.5,92771,653053,367504,54274,291901,139124,
145.5,105267,710415,373741,51426,310212,150878,
146.5,118888,766946,379162,49262,328564,162458,
147.5,133596,821427,383740,47710,346618,173577,
148.5,149329,872573,387455,46714,364018,183927,
149.5,165994,919075,390291,46234,380398,193198,
150.5,183474,959657,392239,46244,395404,201084,
151.5,201627,993139,393297,46731,408698,207305,
152.5,220292,1018493,393467,47691,419986,211620,
153.5,239289,1034901,392760,49134,429021,213837,
154.5,258431,1041802,391195,51078,435626,213834,
155.5,277524,1038928,388796,53550,439699,211558,
156.5,296375,1026324,385595,56588,441220,207035,
157.5,314798,1004344,381633,60240,440254,200371,
158.5,332620,973645,376953,64562,436945,191746,
159.5,349682,935141,371608,69619,431512,181405,
160.5,365845,889963,365655,75485,424237,169649,
161.5,380995,839394,359153,82244,415446,156820,
162.5,395037,784805,352166,89985,405498,143287,
163.5,407905,727585,344760,98804,394763,129433,
164.5,419552,669083,337003,108801,383610,115643,
165.5,429956,610551,328961,120076,372386,102300,
166.5,439114,553099,320701,132731,361411,89784,
167.5,447043,497665,312287,146858,350963,78479,
168.5,453772,445004,303781,162539,341274,68780,
169.5,459344,395676,295241,179839,332525,61083,
170.5,463811,350061,286722,198797,324848,55744,
171.5,467233,308368,278275,219423,318325,52961,
172.5,469673,270663,269944,241683,312991,52662,
173.5,471197,236891,261771,265498,308839,54490,
174.5,471870,206902,253790,290733,305824,57945,
175.5,471756,180479,246034,317191,303865,62539,
176.5,470918,157356,238527,344607,302852,67882,
177.5,469412,137246,231291,372651,302650,73689,
178.5,467293,119847,224343,400923,303102,79746,
179.5,464610,104865,217696,428963,304034,85885,
180.5,461407,92015,211360,456257,305259,91957,
181.5,457723,81031,205339,482251,306586,97821,
182.5,453594,71673,199636,506370,307818,103337,
183.5,449049,63721,194252,528036,308765,108366,
184.5,444117,56982,189185,546694,309244,112777,
185.5,438820,51287,184430,561834,309093,116445,
186.5,433180,46490,179981,573015,308166,119261,
187.5,427215,42465,175832,579888,306350,121141,
188.5,420943,39106,171973,582214,303559,122024,
189.5,414381,36323,168395,579878,299744,121881,
190.5,407543,34041,165088,572892,294891,120715,
191.5,400446,32199,162041,561402,289022,118564,
192.5,393105,30747,159244,545674,282193,115494,
193.5,385538,29645,156684,526089,274489,111602,
194.5,377762,28861,154351,503119,266023,107011,
195.5,369795,28373,152232,477308,256927,101860,
196.5,361658,28165,150315,449247,247346,96301,
197.5,353372,28226,148589,419546,237433,90493,
198.5,344959,28554,147042,388816,227343,84593,
199.5,336442,29149,145661,357640,217223,78752,
200.5,327847,30020,144436,326559,207215,73106,
201.5,319197,31177,143355,296053,197446,67773,
202.5,310519,32637,142406,266536,188025,62846,
203.5,301838,34423,141577,238347,179046,58391,
204.5,293179,36560,140857,211749,170586,54444,
205.5,284568,39078,140235,186932,162703,51012,
206.5,276028,42011,139698,164017,155439,48070,
207.5,267584,45398,139237,143062,148820,45576,
208.5,259256,49279,138839,124074,142862,43469,
209.5,251065,53696,138494,107014,137567,41684,
210.5,243031,58691,138190,91808,132930,40158,
211.5,235169,64306,137916,78356,128937,38839,
212.5,227495,70578,137662,66541,125569,37687,
213.5,220021,77540,137416,56231,122802,36680,
214.5,212757,85213,137168,47293,120608,35816,
215.5,205713,93608,136907,39589,118954,35108,
216.5,198894,102718,136623,32987,117805,34582,
217.5,192305,112517,136306,27360,117122,34277,
218.5,185947,122954,135946,22589,116859,34231,
219.5,179821,133952,135533,18565,116968,34480,
220.5,173925,145404,135060,15187,117394,35046,
221.5,168256,157172,134516,12365,118077,35930,
222.5,162810,169084,133895,10019,118952,37111,
223.5,157579,180942,133187,8078,119947,38543,
224.5,152556,192519,132388,6480,120986,40161,
225.5,147733,203567,131489,5170,121990,41887,
226.5,143099,213828,130486,4103,122879,43633,
227.5,138644,223037,129375,3237,123573,45309,
228.5,134358,230938,128150,2538,123996,46827,
229.5,130227,237293,126809,1978,124077,48107,
230.5,126239,241896,125351,1531,123754,49079,
231.5,122382,244582,123772,1177,122978,49686,
232.5,118643,245237,122075,898,121713,49886,
233.5,115008,243803,120258,680,119937,49657,
234.5,111465,240287,118324,511,117647,48990,
235.5,108000,234757,116275,380,114853,47897,
236.5,104602,227339,114115,280,111584,46407,
237.5,101257,218217,111849,205,107882,44561,
238.5,97954,207616,109480,148,103800,42415,
239.5,94683,195798,107017,106,99401,40033,
240.5,91434,183044,104464,75,94754,37488,
241.5,88197,169647,101830,53,89932,34854,
242.5,84965,155894,99123,37,85005,32203,
243.5,81731,142059,96352,25,80042,29605,
244.5,78491,128392,93524,17,75106,27124,
245.5,75240,115113,90650,11,70254,24811,
246.5,71978,102405,87739,7,65533,22708,
247.5,68704,90413,84801,5,60981,20839,
248.5,65419,79244,81846,3,56628,19216,
249.5,62127,68968,78882,2,52495,17832,
250.5,58834,59622,75919,1,48594,16669,
251.5,55546,51211,72968,0,44931,15697,
252.5,52272,43720,70036,0,41507,14881,
253.5,49021,37109,67131,0,38316,14185,
254.5,45805,31328,64264,0,35349,13574,
255.5,42635,26315,61439,0,32597,13021,
256.5,39524,22000,58666,0,30047,12505,
257.5,36485,18314,55949,0,27687,12009,
258.5,33531,15186,53296,0,25503,11524,
259.5,30674,12547,50710,0,23483,11046,
260.5,27926,10335,48197,0,21615,10571,
261.5,25299,8490,45761,0,19888,10100,
262.5,22802,6958,43404,0,18291,9635,
263.5,20443,5692,41129,0,16816,9178,
264.5,18229,4649,38938,0,15454,8731,
