NTA Experiment Summary File,
Mode,180.6,165.2,163.0,155.5,166.1,5.3,
SD,43.5,42.2,37.8,40.3,41.0,1.2,
D10,127.6,121.9,124.6,121.7,123.9,1.4,
D50,173.7,167.5,165.7,162.1,167.2,2.4,
D90,227.6,220.0,219.9,217.3,221.2,2.2,
Valid Tracks,1831.0,2140.0,2060.0,2338.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,
23.5,0,0,0,0,0,0,
24.5,0,0,0,0,0,0,
25.5,0,0,0,0,0,0,
26.5,0,1,0,0,0,0,
27.5,2,6,0,1,2,1,
28.5,8,23,0,3,8,5,
29.5,26,75,0,6,26,17,
30.5,72,207,0,12,73,47,
31.5,180,505,0,23,177,116,
32.5,402,1093,0,44,385,253,
33.5,821,2121,0,79,755,491,
34.5,1554,3727,0,138,1355,865,
35.5,2761,5989,0,232,2245,1396,
36.5,4646,8884,0,376,3477,2088,
37.5,7458,12281,0,590,5082,2937,
38.5,11480,15967,0,900,7087,3944,
39.5,17007,19694,0,1333,9509,5142,
40.5,24310,23241,0,1924,12369,6601,
41.5,33578,26449,0,2707,15684,8419,
42.5,44858,29244,0,3719,19455,10674,
43.5,57990,31628,0,4997,23654,13386,
44.5,72573,33663,1,6573,28202,16487,
45.5,87956,35450,2,8473,32970,19825,
46.5,103290,37103,4,10717,37778,23187,
47.5,117620,38742,7,13312,42420,26323,
48.5,130013,40475,13,16256,46689,28992,
49.5,139685,42396,24,19536,50410,30992,
50.5,146110,44587,42,23127,53467,32193,
51.5,149074,47111,75,26993,55813,32546,
52.5,148677,50017,130,31096,57480,32091,
53.5,145285,53335,220,35388,58557,30942,
54.5,139449,57079,368,39823,59180,29270,
55.5,131807,61242,600,44360,59502,27279,
56.5,123009,65798,957,48959,59681,25185,
57.5,113642,70697,1491,53594,59856,23195,
58.5,104198,75870,2264,58246,60144,21490,
59.5,95054,81229,3347,62911,60635,20199,
60.5,86473,86671,4816,67599,61390,19381,
61.5,78621,92086,6743,72333,62446,19019,
62.5,71582,97364,9183,77151,63820,19036,
63.5,65382,102402,12167,82102,65514,19326,
64.5,60005,107116,15692,87251,67516,19790,
65.5,55408,111445,19714,92671,69809,20358,
66.5,51537,115356,24151,98447,72373,20990,
67.5,48331,118847,28889,104675,75185,21680,
68.5,45731,121947,33793,111457,78232,22446,
69.5,43683,124712,38722,118906,81506,23321,
70.5,42139,127224,43547,127139,85012,24348,
71.5,41060,129583,48160,136281,88771,25574,
72.5,40415,131906,52487,146460,92817,27046,
73.5,40183,134316,56492,157809,97200,28808,
74.5,40349,136947,60177,170458,101983,30900,
75.5,40909,139935,63580,184539,107241,33354,
76.5,41866,143422,66767,200176,113058,36197,
77.5,43230,147551,69828,217487,119524,39447,
78.5,45022,152473,72870,236576,126735,43114,
79.5,47269,158343,76013,257529,134789,47200,
