NTA Experiment Summary File,
53.5,2166209,1647164,1631370,1342665,1696852,171392,
54.5,2143700,1632607,1642327,1440311,1714736,150363,
55.5,2121482,1628376,1654768,1546268,1737724,129989,
56.5,2099895,1634282,1668511,1655650,1764585,111993,
57.5,2079279,1650120,1683373,1762048,1793705,98041,
58.5,2059955,1675656,1699186,1857887,1823171,88697,
59.5,2042209,1710604,1715802,1935141,1850939,82477,
60.5,2026280,1754604,1733105,1986346,1875084,76329,
61.5,2012347,1807188,1751016,2005722,1894068,67373,
62.5,2000527,1867751,1769496,1990171,1906986,54858,
63.5,1990874,1935525,1788548,1939853,1913700,43569,
64.5,1983373,2009545,1808216,1858200,1914834,48513,
65.5,1977952,2088645,1828581,1751337,1911629,75456,
66.5,1974482,2171444,1849757,1627075,1905689,114059,
67.5,1972786,2256365,1871882,1493751,1898696,157616,
68.5,1972650,2341664,1895113,1359173,1892150,202611,
69.5,1973832,2425477,1919613,1229865,1887197,246710,
70.5,1976073,2505891,1945549,1110709,1884556,288241,
71.5,1979112,2581019,1973078,1004909,1884529,326039,
72.5,1982693,2649088,2002342,914223,1887087,359344,
73.5,1986582,2708530,2033462,839316,1891972,387709,
74.5,1990575,2758056,2066530,780139,1898825,410922,
75.5,1994507,2796726,2101609,736286,1907282,428924,
76.5,1998263,2823987,2138728,707279,1917064,441759,
77.5,2001779,2839693,2177882,692792,1928036,449519,
78.5,2005052,2844100,2219033,692805,1940248,452307,
79.5,2008135,2837830,2262115,707725,1953951,450206,
80.5,2011140,2821822,2307032,738461,1969614,443243,
81.5,2014234,2797270,2353667,786482,1987913,431370,
82.5,2017631,2765543,2401889,853842,2009726,414446,
83.5,2021592,2728123,2451555,943163,2036108,392239,
84.5,2026412,2686527,2502522,1057563,2068256,364474,
85.5,2032413,2642254,2554649,1200488,2107451,330935,
86.5,2039939,2596733,2607808,1375425,2154976,291710,
87.5,2049346,2551291,2661885,1585458,2211995,247744,
88.5,2060993,2507125,2716790,1832652,2279390,202166,
89.5,2075241,2465297,2772457,2117304,2357575,163599,
90.5,2092439,2426723,2828849,2437106,2446279,150562,
91.5,2112928,2392184,2885956,2786382,2544362,179014,
92.5,2137029,2362333,2943798,3155572,2649683,239411,
93.5,2165044,2337710,3002423,3531172,2759087,314348,
94.5,2197250,2318755,3061903,3896302,2868552,392277,
95.5,2233900,2305825,3122334,4231975,2973508,465359,
96.5,2275215,2299209,3183828,4518959,3069303,527434,
97.5,2321389,2299141,3246511,4739971,3151753,573575,
98.5,2372581,2305813,3310517,4881807,3217680,600252,
99.5,2428916,2319382,3375986,4936996,3265320,605607,
100.5,2490482,2339981,3443057,4904617,3294535,589639,
101.5,2557332,2367725,3511864,4790175,3306774,554227,
102.5,2629477,2402712,3582531,4604570,3304822,503021,
103.5,2706892,2445025,3655171,4362453,3292385,441350,
104.5,2789511,2494736,3729881,4080308,3273609,376380,
105.5,2877231,2551901,3806741,3774631,3252626,317735,
106.5,2969911,2616558,3885809,3460460,3233184,277956,
107.5,3067374,2688725,3967121,3150411,3218408,269037,
108.5,3169414,2768394,4050691,2854215,3210678,292974,
109.5,3275793,2855524,4136507,2578694,3211629,339967,
110.5,3386251,2950039,4224532,2328041,3222216,398453,
111.5,3500508,3051817,4314705,2104280,3242828,460805,
