NTA Experiment Summary File,
66.5,53126,28774,14607,10240,26687,9660,
67.5,49044,20206,12465,9573,22822,9024,
68.5,45304,14269,10696,9144,19853,8551,
69.5,41978,10232,9246,8918,17593,8133,
70.5,39103,7508,8065,8874,15887,7743,
71.5,36687,5670,7110,8999,14616,7388,
72.5,34724,4423,6342,9287,13694,7081,
73.5,33198,3571,5728,9739,13059,6834,
74.5,32089,2987,5243,10361,12670,6654,
75.5,31375,2587,4866,11165,12498,6549,
76.5,31039,2317,4578,12169,12526,6521,
77.5,31064,2140,4368,13392,12741,6574,
78.5,31439,2035,4224,14863,13140,6712,
79.5,32156,1986,4140,16611,13723,6939,
80.5,33213,1984,4110,18673,14495,7258,
81.5,34606,2024,4131,21087,15462,7676,
82.5,36336,2102,4202,23896,16634,8199,
83.5,38403,2218,4321,27144,18021,8832,
84.5,40807,2374,4490,30876,19637,9583,
85.5,43545,2572,4712,35136,21491,10456,
86.5,46611,2817,4990,39964,23595,11459,
87.5,49995,3115,5329,45393,25958,12593,
88.5,53681,3476,5737,51447,28585,13859,
89.5,57646,3911,6221,58136,31478,15257,
90.5,61861,4432,6791,65452,34634,16779,
91.5,66293,5058,7460,73367,38045,18415,
92.5,70901,5809,8243,81830,41696,20147,
93.5,75639,6712,9155,90762,45567,21951,
94.5,80457,7798,10217,100060,49633,23799,
95.5,85306,9105,11452,109593,53864,25652,
96.5,90132,10677,12887,119208,58226,27467,
97.5,94888,12567,14552,128731,62684,29194,
98.5,99525,14836,16483,137976,67205,30779,
99.5,104002,17552,18717,146749,71755,32165,
100.5,108283,20794,21301,154859,76309,33292,
101.5,112340,24641,24281,162124,80847,34104,
102.5,116151,29180,27712,168384,85357,34545,
103.5,119703,34493,31650,173501,89837,34569,
104.5,122988,40656,36156,177373,94294,34135,
105.5,126008,47726,41291,179936,98740,33215,
106.5,128768,55735,47117,181161,103195,31793,
107.5,131278,64674,53694,181064,107678,29869,
108.5,133554,74486,61073,179694,112202,27459,
109.5,135611,85049,69301,177136,116774,24594,
110.5,137468,96172,78407,173501,121387,21326,
111.5,139142,107589,88405,168924,126015,17719,
112.5,140651,118962,99283,163551,130612,13853,
113.5,142010,129889,111004,157538,135110,9828,
114.5,143234,139929,123497,151042,139425,5798,
115.5,144332,148624,136654,144213,143456,2489,
116.5,145314,155536,150330,137195,147094,3904,
117.5,146183,160284,164342,130116,150231,7752,
118.5,146942,162576,178465,123091,152769,11801,
119.5,147589,162244,192444,116217,154623,15846,
120.5,148120,159257,205994,109574,155736,19848,
121.5,148528,153733,218811,103228,156075,23789,
122.5,148805,145928,230584,97227,155636,27643,
123.5,148940,136210,241004,91605,154440,31364,
124.5,148922,125034,249783,86384,152531,34884,
125.5,148739,112895,256665,81578,149969,38120,
126.5,148379,100296,261437,77189,146825,40980,
127.5,147831,87702,263944,73216,143173,43377,
128.5,147083,75520,264095,69648,139087,45234,
129.5,146128,64075,261870,66477,134637,46498,
130.5,144958,53599,257319,63686,129891,47142,
131.5,143568,44238,250564,61262,124908,47167,
132.5,141956,36053,241786,59188,119746,46600,
133.5,140124,29039,231222,57449,114459,45496,
134.5,138075,23139,219151,56030,109099,43928,
135.5,135814,18259,205880,54918,103718,41984,
136.5,133352,14284,191730,54101,98367,39760,
137.5,130699,11091,177022,53568,93095,37355,
138.5,127871,8558,162068,53308,87951,34869,
139.5,124882,6570,147153,53315,82980,32394,
140.5,121751,5026,132534,53580,78223,30013,
141.5,118497,3836,118429,54098,73715,27798,
142.5,115139,2925,105017,54864,69487,25805,
143.5,111698,2232,92434,55873,65559,24075,
144.5,108193,1707,80775,57120,61949,22630,
145.5,104646,1310,70099,58599,58664,21476,
146.5,101076,1010,60429,60305,55705,20603,
147.5,97501,784,51760,62229,53069,19987,
148.5,93939,614,44064,64361,50744,19598,
149.5,90406,485,37294,66690,48719,19403,
150.5,86917,387,31389,69198,46973,19370,
151.5,83485,313,26281,71869,45487,19471,
152.5,80121,257,21895,74677,44237,19680,
153.5,76836,213,18157,77595,43200,19978,
154.5,73638,181,14991,80590,42350,20347,
155.5,70535,155,12327,83626,41661,20773,
156.5,67530,136,10098,86661,41106,21240,
157.5,64630,121,8244,89648,40661,21734,
158.5,61835,111,6709,92537,40298,22241,
159.5,59149,103,5444,95276,39993,22745,
160.5,56571,98,4406,97810,39721,23230,
161.5,54102,95,3558,100085,39460,23679,
162.5,51740,94,2867,102046,39187,24077,
163.5,49484,95,2307,103643,38882,24407,
164.5,47331,99,1853,104828,38528,24656,
165.5,45279,105,1486,105561,38108,24810,
166.5,43325,113,1191,105807,37609,24859,
167.5,41464,125,954,105544,37022,24795,
168.5,39694,141,764,104755,36338,24610,
169.5,38010,162,611,103437,35555,24303,
170.5,36409,190,489,101597,34671,23874,
171.5,34887,226,391,99253,33689,23325,
172.5,33440,274,313,96435,32616,22662,
173.5,32064,337,251,93180,31458,21894,
174.5,30756,421,201,89534,30228,21031,
175.5,29511,533,161,85553,28939,20084,
176.5,28326,682,129,81293,27608,19067,
177.5,27198,882,104,76818,26251,17993,
178.5,26124,1150,84,72190,24887,16876,
179.5,25101,1511,67,67473,23538,15729,
180.5,24125,1996,54,62726,22225,14562,
181.5,23194,2649,44,58007,20973,13386,
182.5,22306,3524,36,53367,19808,12209,
183.5,21459,4695,29,48853,18759,11036,
184.5,20649,6254,23,44503,17857,9876,
185.5,19876,8317,19,40350,17141,8742,
186.5,19137,11027,16,36419,16650,7667,
187.5,18432,14557,13,32729,16433,6725,
188.5,17757,19108,10,29292,16542,6082,
189.5,17113,24908,9,26113,17036,6016,
190.5,16497,32203,7,23194,17975,6799,
191.5,15909,41249,6,20531,19424,8500,
192.5,15348,52287,5,18116,21439,11027,
193.5,14814,65523,4,15938,24070,14287,
194.5,14304,81092,3,13986,27346,18223,
195.5,13819,99026,3,12244,31273,22794,
196.5,13357,119215,2,10698,35818,27948,
197.5,12920,141376,2,9331,40907,33600,
198.5,12505,165029,2,8127,46416,39623,
199.5,12112,189492,1,7070,52169,45842,
200.5,11742,213893,1,6147,57946,52038,
201.5,11394,237208,1,5342,63486,57954,
