NTA Experiment Summary File,
60.5,957451,3663659,4193040,3287603,3025438,713905,
61.5,1164035,3682998,4241371,3300210,3097154,672720,
62.5,1382331,3701786,4284293,3314095,3170626,628554,
63.5,1606229,3720610,4322955,3329522,3244829,583160,
64.5,1829231,3739958,4358439,3346670,3318574,538347,
65.5,2044925,3760229,4391749,3365649,3390638,495848,
66.5,2247418,3781741,4423806,3386517,3459871,457183,
67.5,2431695,3804735,4455447,3409295,3525293,423545,
68.5,2593863,3829389,4487421,3433972,3586161,395732,
69.5,2731282,3855826,4520394,3460522,3642006,374126,
70.5,2842585,3884119,4554958,3488910,3692643,358743,
71.5,2927602,3914299,4591630,3519095,3738157,349336,
72.5,2987209,3946366,4630866,3551042,3778871,345517,
73.5,3023137,3980297,4673062,3584718,3815304,346851,
74.5,3037756,4016049,4718566,3620103,3848119,352911,
75.5,3033861,4053572,4767682,3657187,3878075,363282,
76.5,3014474,4092810,4820673,3695974,3905983,377542,
77.5,2982675,4133715,4877774,3736484,3932662,395245,
78.5,2941468,4176246,4939188,3778750,3958913,415915,
79.5,2893676,4220380,5005098,3822821,3985494,439061,
80.5,2841880,4266115,5075664,3868761,4013105,464188,
81.5,2788374,4313471,5151027,3916649,4042380,490827,
82.5,2735155,4362498,5231316,3966576,4073886,518544,
83.5,2683929,4413275,5316641,4018647,4108123,546959,
84.5,2636124,4465913,5407100,4072980,4145529,575744,
85.5,2592922,4520552,5502776,4129703,4186488,604627,
86.5,2555290,4577365,5603739,4188955,4231337,633387,
87.5,2524010,4636553,5710043,4250881,4280372,661847,
88.5,2499719,4698341,5821728,4315639,4333857,689867,
89.5,2482933,4762981,5938815,4383388,4392029,717337,
90.5,2474080,4830741,6061310,4454298,4455107,744169,
91.5,2473527,4901907,6189195,4528540,4523292,770289,
92.5,2481595,4976774,6322435,4606290,4596774,795633,
93.5,2498586,5055646,6460970,4687725,4675732,820138,
94.5,2524791,5138825,6604717,4773025,4760340,843743,
95.5,2560504,5226613,6753566,4862368,4850763,866379,
96.5,2606033,5319304,6907381,4955931,4947162,887971,
97.5,2661706,5417177,7065998,5053889,5049693,908434,
98.5,2727874,5520498,7229226,5156410,5158502,927672,
99.5,2804914,5629509,7396843,5263662,5273732,945575,
100.5,2893230,5744430,7568599,5375800,5395515,962023,
101.5,2993253,5865452,7744215,5492974,5523973,976882,
102.5,3105435,5992734,7923385,5615323,5659219,990009,
103.5,3230247,6126401,8105774,5742975,5801349,1001249,
104.5,3368173,6266542,8291023,5876046,5950446,1010441,
105.5,3519697,6413206,8478749,6014635,6106571,1017416,
106.5,3685299,6566402,8668547,6158826,6269769,1022005,
107.5,3865443,6726096,8859995,6308687,6440055,1024037,
108.5,4060561,6892214,9052653,6464263,6617423,1023347,
109.5,4271038,7064635,9246069,6625583,6801831,1019777,
110.5,4497200,7243198,9439783,6792650,6993208,1013184,
111.5,4739295,7427699,9633327,6965445,7191441,1003441,
112.5,4997473,7617892,9826233,7143924,7396381,990444,
113.5,5271770,7813493,10018037,7328018,7607829,974118,
114.5,5562089,8014179,10208278,7517628,7825543,954421,
115.5,5868180,8219595,10396506,7712629,8049227,931352,
116.5,6189625,8429353,10582285,7912867,8278532,904953,
117.5,6525824,8643035,10765198,8118156,8513053,875313,
118.5,6875981,8860201,10944847,8328283,8752328,842579,
119.5,7239098,9080389,11120858,8543001,8995836,806952,
120.5,7613969,9303119,11292886,8762033,9243002,768696,
121.5,7999181,9527899,11460612,8985072,9493191,728137,
122.5,8393124,9754226,11623753,9211780,9745721,685668,
123.5,8793998,9981593,11782056,9441787,9999858,641749,
124.5,9199838,10209489,11935303,9674694,10254831,596910,
125.5,9608534,10437405,12083314,9910074,10509832,551750,
126.5,10017865,10664835,12225943,10147471,10764028,506947,
127.5,10425531,10891279,12363080,10386401,11016573,463252,
128.5,10829197,11116246,12494652,10626357,11266613,421500,
129.5,11226532,11339254,12620620,10866807,11513303,382605,
130.5,11615257,11559832,12740979,11107196,11755816,347541,
131.5,11993183,11777522,12855756,11346950,11993353,317301,
132.5,12358262,11991878,12965010,11585477,12225157,292790,
133.5,12708619,12202465,13068825,11822169,12450520,274662,
134.5,13042593,12408861,13167314,12056406,12668793,263127,
135.5,13358765,12610655,13260610,12287556,12879396,257814,
136.5,13655978,12807450,13348868,12514979,13081818,257805,
137.5,13933357,12998853,13432258,12738031,13275625,261845,
138.5,14190318,13184486,13510965,12956066,13460458,268610,
139.5,14426561,13363974,13585184,13168437,13636039,276915,
140.5,14642072,13536953,13655116,13374504,13802161,285817,
141.5,14837107,13703062,13720966,13573632,13958692,294639,
142.5,15012167,13861946,13782940,13765195,14105562,302932,
143.5,15167982,14013256,13841240,13948584,14242766,310439,
144.5,15305478,14156648,13896060,14123202,14370347,317039,
145.5,15425746,14291779,13947588,14288476,14488397,322713,
146.5,15530011,14418315,13995996,14443851,14597044,327503,
147.5,15619599,14535926,14041445,14588802,14696443,331486,
148.5,15695902,14644288,14084074,14722829,14786773,334750,
149.5,15760350,14743087,14124006,14845465,14868227,337383,
150.5,15814381,14832018,14161341,14956277,14941004,339457,
151.5,15859411,14910787,14196156,15054869,15005306,341029,
152.5,15896816,14979117,14228502,15140881,15061329,342141,
153.5,15927904,15036747,14258406,15213999,15109264,342826,
154.5,15953903,15083437,14285869,15273947,15149289,343120,
155.5,15975942,15118971,14310865,15320498,15181569,343071,
156.5,15995042,15143158,14333340,15353470,15206252,342761,
157.5,16012107,15155839,14353216,15372727,15223472,342313,
158.5,16027914,15156888,14370389,15378186,15233344,341914,
159.5,16043116,15146215,14384728,15369810,15235967,341817,
160.5,16058232,15123771,14396083,15347614,15231425,342356,
161.5,16073652,15089547,14404281,15311662,15219786,343940,
162.5,16089639,15043580,14409129,15262069,15201104,347041,
163.5,16106330,14985954,14410417,15199000,15175425,352169,
164.5,16123739,14916799,14407923,15122668,15142782,359834,
165.5,16141767,14836294,14401411,15033335,15103202,370501,
166.5,16160205,14744669,14390638,14931307,15056705,384540,
167.5,16178742,14642201,14375353,14816938,15003309,402192,
168.5,16196973,14529214,14355308,14690622,14943029,423551,
169.5,16214409,14406079,14330250,14552793,14875883,448560,
170.5,16230485,14273213,14299936,14403925,14801890,477032,
171.5,16244570,14131070,14264129,14244525,14721074,508678,
172.5,16255980,13980145,14222603,14075131,14633465,543133,
173.5,16263986,13820967,14175148,13896311,14539103,579985,
174.5,16267826,13654093,14121572,13708656,14438037,618792,
175.5,16266718,13480109,14061701,13512779,14330327,659105,
176.5,16259871,13299619,13995388,13309311,14216047,700471,
177.5,16246497,13113243,13922509,13098896,14095286,742449,
178.5,16225822,12921612,13842971,12882186,13968148,784608,
179.5,16197099,12725364,13756707,12659842,13834753,826535,
180.5,16159618,12525134,13663684,12432523,13695240,867840,
181.5,16112719,12321556,13563898,12200891,13549766,908152,
182.5,16055798,12115255,13457381,11965597,13398508,947128,
183.5,15988320,11906840,13344193,11727288,13241660,984451,
184.5,15909825,11696905,13224431,11486595,13079439,1019831,
185.5,15819935,11486022,13098222,11244135,12912079,1053010,
186.5,15718363,11274738,12965723,11000508,12739833,1083760,
187.5,15604912,11063575,12827121,10756289,12562974,1111885,
188.5,15479483,10853023,12682631,10512033,12381793,1137224,
189.5,15342074,10643541,12532496,10268269,12196595,1159644,
190.5,15192780,10435556,12376978,10025498,12007703,1179048,
191.5,15031794,10229460,12216365,9784190,11815452,1195372,
192.5,14859401,10025611,12050962,9544789,11620191,1208581,
193.5,14675977,9824331,11881091,9307705,11422276,1218671,
194.5,14481983,9625909,11707085,9073317,11222073,1225668,
195.5,14277956,9430597,11529292,8841972,11019954,1229623,
196.5,14064506,9238614,11348063,8613985,10816292,1230613,
197.5,13842306,9050149,11163759,8389639,10611463,1228739,
198.5,13612082,8865356,10976739,8169185,10405841,1224120,
199.5,13374605,8684360,10787366,7952844,10199794,1216895,
200.5,13130684,8507258,10595998,7740806,9993687,1207217,
201.5,12881152,8334120,10402990,7533232,9787874,1195253,
202.5,12626862,8164991,10208688,7330254,9582698,1181179,
203.5,12368671,7999891,10013430,7131979,9378493,1165178,
204.5,12107440,7838822,9817546,6938487,9175574,1147440,
205.5,11844018,7681762,9621350,6749836,8974241,1128157,
206.5,11579239,7528674,9425147,6566059,8774780,1107520,
207.5,11313913,7379506,9229225,6387169,8577453,1085719,
208.5,11048820,7234189,9033857,6213162,8382507,1062943,
209.5,10784707,7092644,8839301,6044012,8190166,1039373,
210.5,10522280,6954779,8645798,5879680,8000634,1015185,
211.5,10262201,6820495,8453575,5720111,7814095,990546,
212.5,10005087,6689684,8262837,5565237,7630712,965615,
213.5,9751506,6562233,8073778,5414980,7450624,940543,
214.5,9501976,6438022,7886573,5269250,7273955,915469,
215.5,9256963,6316930,7701379,5127949,7100805,890521,
216.5,9016884,6198831,7518341,4990971,6931257,865817,
217.5,8782105,6083600,7337586,4858205,6765374,841464,
218.5,8552941,5971108,7159227,4729534,6603202,817558,
219.5,8329660,5861232,6983363,4604838,6444773,794185,
220.5,8112483,5753844,6810081,4483993,6290100,771419,
221.5,7901588,5648823,6639454,4366874,6139185,749326,
222.5,7697108,5546049,6471543,4253355,5992014,727960,
223.5,7499140,5445404,6306400,4143311,5848564,707368,
224.5,7307740,5346775,6144065,4036616,5708799,687588,
225.5,7122932,5250054,5984570,3933144,5572675,668649,
226.5,6944708,5155135,5827938,3832775,5440139,650574,
227.5,6773031,5061920,5674185,3735388,5311131,633379,
228.5,6607838,4970314,5523320,3640867,5185585,617074,
229.5,6449041,4880227,5375344,3549098,5063427,601663,
230.5,6296532,4791576,5230256,3459970,4944584,587144,
231.5,6150185,4704281,5088048,3373379,4828973,573514,
232.5,6009854,4618271,4948709,3289223,4716514,560762,
233.5,5875382,4533478,4812223,3207405,4607122,548876,
234.5,5746598,4449839,4678574,3127832,4500711,537840,
235.5,5623321,4367298,4547740,3050416,4397194,527633,
236.5,5505360,4285803,4419700,2975075,4296484,518234,
237.5,5392518,4205306,4294429,2901730,4198496,509619,
238.5,5284589,4125768,4171903,2830308,4103142,501760,
239.5,5181365,4047149,4052096,2760740,4010337,494629,
240.5,5082633,3969417,3934980,2692962,3919998,488194,
241.5,4988178,3892544,3820530,2626914,3832042,482423,
242.5,4897782,3816504,3708718,2562540,3746386,477279,
243.5,4811227,3741276,3599517,2499791,3662952,472726,
244.5,4728294,3666842,3492898,2438617,3581663,468726,
245.5,4648763,3593188,3388834,2378976,3502441,465239,
246.5,4572419,3520302,3287299,2320828,3425212,462224,
247.5,4499043,3448175,3188265,2264136,3349905,459637,
248.5,4428422,3376799,3091705,2208866,3276448,457436,
249.5,4360344,3306170,2997590,2154988,3204773,455576,
250.5,4294597,3236284,2905896,2102473,3134813,454012,
251.5,4230977,3167142,2816592,2051295,3066502,452699,
252.5,4169279,3098743,2729654,2001430,2999776,451589,
253.5,4109305,3031089,2645051,1952855,2934575,450639,
254.5,4050858,2964182,2562757,1905550,2870837,449801,
255.5,3993749,2898027,2482743,1859496,2808504,449032,
256.5,3937790,2832627,2404979,1814674,2747517,448286,
257.5,3882801,2767988,2329436,1771066,2687823,447519,
258.5,3828607,2704115,2256083,1728655,2629365,446690,
259.5,3775039,2641014,2184889,1687425,2572092,445757,
260.5,3721934,2578693,2115822,1647360,2515952,444680,
261.5,3669136,2517156,2048849,1608443,2460896,443421,
262.5,3616497,2456412,1983936,1570659,2406876,441944,
263.5,3563876,2396467,1921048,1533991,2353846,440215,
264.5,3511141,2337328,1860150,1498422,2301760,438201,
265.5,3458168,2279001,1801203,1463937,2250578,435873,
266.5,3404842,2221495,1744172,1430518,2200257,433204,
267.5,3351058,2164815,1689016,1398147,2150759,430169,
268.5,3296721,2108968,1635696,1366807,2102048,426747,
269.5,3241746,2053960,1584172,1336478,2054089,422918,
270.5,3186060,1999799,1534403,1307141,2006851,418667,
271.5,3129599,1946490,1486345,1278777,1960303,413981,
272.5,3072313,1894038,1439956,1251364,1914418,408849,
273.5,3014160,1842451,1395194,1224884,1869172,403265,
274.5,2955114,1791732,1352013,1199312,1824543,397226,
275.5,2895158,1741887,1310369,1174628,1780511,390732,
276.5,2834287,1692921,1270219,1150810,1737059,383784,
277.5,2772509,1644838,1231516,1127833,1694174,376390,
278.5,2709844,1597643,1194215,1105675,1651844,368559,
279.5,2646323,1551339,1158272,1084311,1610061,360302,
280.5,2581987,1505929,1123640,1063718,1568819,351636,
281.5,2516890,1461417,1090276,1043870,1528113,342579,
282.5,2451095,1417804,1058133,1024743,1487944,333151,
283.5,2384675,1375093,1027168,1006312,1448312,323376,
284.5,2317714,1333285,997336,988551,1409221,313281,
285.5,2250301,1292381,968592,971434,1370677,302894,
