NTA Experiment Summary File,
51.5,0,27467,246800,358857,158281,86714,
52.5,3,33821,285088,449982,192223,106889,
53.5,6,41138,325571,550325,229260,129198,
54.5,15,49519,367957,657730,268805,153142,
55.5,34,59086,411945,769664,310182,178120,
56.5,73,69982,457228,883417,352675,203483,
57.5,147,82376,503503,996298,395581,228578,
58.5,284,96466,550473,1105808,438258,252794,
59.5,522,112480,597853,1209769,480156,275594,
60.5,920,130678,645369,1306414,520845,296532,
61.5,1554,151355,692768,1394425,560025,315270,
62.5,2524,174836,739814,1472935,597527,331572,
63.5,3946,201483,786296,1541502,633307,345301,
64.5,5954,231684,832028,1600057,667431,356407,
65.5,8684,265856,876853,1648846,700060,364918,
66.5,12267,304436,920645,1688364,731428,370927,
67.5,16813,347872,963309,1719294,761822,374582,
68.5,22395,396617,1004787,1742448,791562,376082,
69.5,29041,451110,1045057,1758720,820982,375670,
70.5,36720,511763,1084131,1769042,850414,373640,
71.5,45342,578945,1122057,1774354,880175,370332,
72.5,54760,652957,1158919,1775576,910553,366138,
73.5,64773,734015,1194831,1773594,941803,361508,
74.5,75147,822225,1229940,1769242,974138,356942,
75.5,85621,917566,1264419,1763299,1007726,352986,
76.5,95932,1019866,1298465,1756483,1042686,350213,
77.5,105825,1128791,1332294,1749450,1079090,349191,
78.5,115072,1243837,1366142,1742796,1116962,350433,
79.5,123480,1364319,1400254,1737060,1156278,354352,
80.5,130900,1489382,1434888,1732724,1196974,361207,
81.5,137231,1618012,1470305,1730225,1238943,371074,
82.5,142417,1749053,1506772,1729953,1282049,383837,
83.5,146450,1881240,1544552,1732259,1326125,399212,
84.5,149356,2013229,1583910,1737462,1370989,416783,
85.5,151198,2143641,1625102,1745848,1416447,436053,
86.5,152063,2271103,1668380,1757681,1462307,456491,
87.5,152055,2394294,1713987,1773205,1508385,477569,
88.5,151289,2511982,1762155,1792644,1554518,498799,
89.5,149888,2623071,1813105,1816210,1600568,519748,
90.5,147972,2726627,1867042,1844103,1646436,540058,
91.5,145659,2821904,1924160,1876514,1692059,559449,
92.5,143060,2908362,1984636,1913627,1737421,577729,
93.5,140276,2985676,2048627,1955619,1782549,594792,
94.5,137402,3053730,2116273,2002660,1827516,610611,
95.5,134519,3112616,2187694,2054917,1872436,625239,
96.5,131699,3162610,2262987,2112549,1917461,638800,
97.5,129007,3204156,2342225,2175711,1962775,651476,
98.5,126495,3237844,2425459,2244548,2008587,663501,
99.5,124213,3264374,2512711,2319200,2055124,675143,
100.5,122199,3284537,2603976,2399797,2102627,686699,
101.5,120490,3299187,2699224,2486458,2151340,698474,
102.5,119116,3309213,2798394,2579292,2201504,710772,
103.5,118108,3315517,2901397,2678392,2253353,723883,
104.5,117490,3318998,3008115,2783841,2307111,738074,
105.5,117290,3320534,3118403,2895703,2362983,753574,
106.5,117535,3320969,3232090,3014026,2421155,770576,
107.5,118252,3321107,3348980,3138842,2481795,789224,
108.5,119471,3321700,3468855,3270160,2545047,809620,
109.5,121227,3323453,3591478,3407975,2611033,831819,
110.5,123555,3327013,3716598,3552257,2679856,855833,
111.5,126499,3332980,3843951,3702959,2751597,881640,
112.5,130105,3341902,3973269,3860009,2826321,909185,
113.5,134429,3354279,4104280,4023317,2904077,938386,
114.5,139532,3370572,4236719,4192771,2984898,969143,
115.5,145482,3391201,4370329,4368236,3068812,1001342,
116.5,152360,3416554,4504869,4549555,3155834,1034859,
117.5,160252,3446991,4640116,4736553,3245978,1069562,
118.5,169257,3482845,4775878,4929031,3339253,1105320,
119.5,179487,3524433,4911988,5126769,3435669,1141999,
120.5,191061,3572052,5048319,5329530,3535240,1179469,
121.5,204116,3625988,5184779,5537054,3637984,1217601,
122.5,218800,3686519,5321318,5749063,3743925,1256269,
123.5,235274,3753914,5457933,5965263,3853096,1295351,
124.5,253714,3828436,5594663,6185340,3965538,1334729,
125.5,274311,3910347,5731593,6408969,4081305,1374285,
126.5,297270,3999906,5868855,6635807,4200459,1413906,
127.5,322809,4097371,6006624,6865502,4323076,1453483,
128.5,351163,4202998,6145118,7097691,4449242,1492905,
129.5,382576,4317043,6284595,7332005,4579055,1532065,
130.5,417309,4439760,6425350,7568069,4712622,1570859,
131.5,455632,4571401,6567712,7805507,4850063,1609183,
132.5,497829,4712217,6712038,8043942,4991506,1646935,
133.5,544190,4862450,6858710,8283004,5137089,1684016,
134.5,595018,5022341,7008132,8522327,5286954,1720329,
135.5,650622,5192118,7160722,8761557,5441255,1755781,
136.5,711318,5372003,7316910,9000353,5600146,1790283,
137.5,777432,5562202,7477130,9238389,5763788,1823750,
138.5,849294,5762909,7641821,9475358,5932346,1856102,
139.5,927242,5974296,7811416,9710976,6105983,1887264,
140.5,1011624,6196519,7986340,9944980,6284866,1917167,
141.5,1102793,6429707,8167006,10177132,6469160,1945747,
