NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,BS_24h_B_LS 2020-09-24 14-42-28.nano,
Operator Name,Eddie,
Time Captured,14:42:28  24/09/2020,
Sample Description,BS_24h_B_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,BS_24h_B_LS 2020-09-24 14-42-53,BS_24h_B_LS 2020-09-24 14-44-02,BS_24h_B_LS 2020-09-24 14-45-11,BS_24h_B_LS 2020-09-24 14-46-20,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,25.597,25.649,25.636,25.644,
Viscosity/cP,0.876733,0.875704,0.875961,0.875803,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,7,7,7,7,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,12.9616,12.9681,13.0026,14.8087,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),4.91e+08,5.50e+08,4.40e+08,4.71e+08,4.88e+08,2.31e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,27.2,28.4,23.9,24.6,26.0,1.1,
Centres per frame,31.2,32.9,28.0,27.9,30.0,1.2,
Completed tracks,4858,5461,4352,4779,,,
X-Drift (pix/frame),-9.5,-9.7,-10.0,-10.3,,,
Y-Drift (pix/frame),-0.9,-0.3,0.2,0.1,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,No,No,No,No,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,
Noise level,No,No,No,No,
Vibration detected,Minor vibration,Minor vibration,Minor vibration,Minor vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,BS_24h_B_LS 2020-09-24 14-42-53,BS_24h_B_LS 2020-09-24 14-44-02,BS_24h_B_LS 2020-09-24 14-45-11,BS_24h_B_LS 2020-09-24 14-46-20,Average,Standard Error,
Mean,186.0,180.2,182.5,174.6,180.8,2.4,
Mode,177.0,167.4,171.6,160.3,169.1,3.5,
SD,45.5,41.0,40.0,41.4,42.0,1.2,
D10,140.0,138.3,142.2,138.1,139.7,1.0,
D50,180.7,173.3,176.9,169.7,175.1,2.4,
D90,231.8,231.3,225.1,210.1,224.6,5.1,
Valid Tracks,1372.0,1427.0,1183.0,1272.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,
20.5,0,0,1,0,0,0,
21.5,0,0,4,0,1,1,
22.5,0,0,12,0,3,3,
23.5,0,0,31,0,8,8,
24.5,0,0,73,0,18,18,
25.5,0,0,155,0,39,39,
26.5,0,0,308,0,77,77,
27.5,0,0,569,0,142,142,
28.5,0,0,984,0,246,246,
29.5,0,0,1603,0,401,401,
30.5,0,0,2472,0,618,618,
31.5,0,0,3624,0,906,906,
32.5,2,0,5071,0,1268,1268,
33.5,6,0,6797,0,1701,1699,
34.5,17,0,8756,0,2193,2188,
35.5,45,0,10873,0,2730,2715,
36.5,110,0,13055,2,3292,3255,
37.5,250,0,15195,5,3863,3778,
38.5,532,0,17188,14,4434,4253,
39.5,1057,0,18941,35,5008,4651,
40.5,1964,0,20377,82,5606,4945,
41.5,3428,0,21447,174,6262,5123,
42.5,5636,0,22127,348,7028,5196,
43.5,8757,0,22420,652,7957,5216,
44.5,12897,0,22350,1152,9099,5291,
45.5,18063,0,21955,1928,10487,5569,
46.5,24138,0,21288,3073,12125,6173,
47.5,30878,0,20405,4682,13991,7122,
48.5,37940,0,19362,6845,16037,8329,
49.5,44925,0,18214,9644,18196,9655,
50.5,51437,0,17008,13145,20398,10968,
51.5,57137,0,15786,17391,22579,12169,
52.5,61777,0,14580,22411,24692,13205,
53.5,65225,0,13417,28210,26713,14071,
54.5,67460,0,12314,34780,28639,14809,
55.5,68558,0,11284,42101,30485,15499,
56.5,68662,0,10334,50136,32283,16243,
57.5,67958,0,9467,58840,34066,17146,
58.5,66649,0,8685,68150,35871,18292,
59.5,64930,0,7983,77988,37725,19725,
60.5,62978,0,7360,88254,39648,21450,
61.5,60945,2,6809,98822,41645,23433,
62.5,58954,3,6327,109542,43707,25616,
63.5,57099,6,5908,120232,45811,27923,
64.5,55451,12,5548,130688,47924,30274,
65.5,54061,21,5240,140682,50001,32585,
66.5,52965,39,4982,149977,51991,34775,
67.5,52186,68,4768,158336,53840,36767,
68.5,51740,117,4597,165534,55497,38492,
69.5,51638,197,4466,171377,56919,39893,
70.5,51888,325,4372,175715,58075,40923,
71.5,52497,524,4314,178451,58947,41554,
72.5,53472,829,4291,179555,59537,41773,
73.5,54820,1284,4303,179057,59866,41584,
74.5,56549,1948,4350,177055,59975,41009,
75.5,58670,2895,4435,173697,59924,40080,
76.5,61192,4221,4557,169177,59787,38844,
77.5,64128,6037,4721,163717,59651,37351,
78.5,67489,8477,4930,157555,59613,35660,
79.5,71289,11695,5188,150926,59774,33829,
80.5,75539,15862,5501,144055,60239,31918,
81.5,80253,21170,5875,137146,61111,29992,
82.5,85442,27821,6319,130377,62490,28126,
83.5,91118,36031,6843,123896,64472,26412,
84.5,97293,46022,7459,117820,67148,24976,
85.5,103976,58020,8179,112240,70604,23984,
86.5,111180,72244,9021,107223,74917,23643,
87.5,118914,88907,10003,102814,80160,24176,
88.5,127192,108207,11148,99045,86398,25759,
89.5,136027,130315,12482,95934,93689,28480,
90.5,145434,155372,14034,93495,102084,32333,
91.5,155431,183479,15841,91737,111622,37251,
92.5,166040,214682,17942,90670,122334,43146,
93.5,177287,248972,20385,90307,134238,49925,
94.5,189201,286267,23221,90667,147339,57497,
95.5,201818,326411,26512,91775,161629,65768,
96.5,215179,369168,30327,93667,177085,74634,
97.5,229330,414220,34745,96389,193671,83982,
98.5,244323,461175,39853,100002,211338,93679,
99.5,260218,509569,45750,104578,230029,103582,
100.5,277079,558887,52545,110209,249680,113532,
101.5,294977,608574,60362,117000,270228,123360,
102.5,313987,658065,69333,125078,291616,132894,
103.5,334192,706802,79605,134592,313798,141959,
104.5,355679,754265,91339,145709,336748,150388,
105.5,378538,799993,104707,158625,360466,158025,
106.5,402865,843604,119893,173558,384980,164729,
107.5,428758,884817,137095,190753,410356,170379,
108.5,456318,923459,156522,210486,436696,174879,
109.5,485648,959470,178390,233058,464141,178154,
110.5,516852,992908,202926,258800,492872,180155,
111.5,550033,1023937,230363,288074,523102,180853,
112.5,585295,1052821,260939,321267,555080,180242,
113.5,622740,1079908,294893,358792,589083,178331,
114.5,662466,1105620,332463,401088,625409,175146,
115.5,704568,1130433,373883,448612,664374,170725,
116.5,749138,1154865,419381,501837,706305,165120,
117.5,796262,1179461,469173,561247,751536,158393,
118.5,846018,1204786,523464,627329,800399,150626,
119.5,898481,1231413,582437,700566,853224,141923,
120.5,953715,1259916,646258,781430,910330,132427,
121.5,1011780,1290870,715067,870367,972021,122340,
122.5,1072723,1324847,788977,967794,1038585,111962,
123.5,1136586,1362413,868072,1074084,1110289,101750,
124.5,1203402,1404133,952401,1189553,1187372,92402,
125.5,1273192,1450569,1041981,1314453,1270049,84943,
126.5,1345972,1502285,1136791,1448954,1358501,80709,
127.5,1421747,1559843,1236774,1593141,1452876,81028,
128.5,1500514,1623808,1341833,1746996,1553288,86600,
129.5,1582262,1694746,1451835,1910389,1659808,97159,
130.5,1666970,1773223,1566608,2083075,1772469,111798,
131.5,1754611,1859802,1685944,2264682,1891260,129506,
132.5,1845150,1955038,1809600,2454709,2016124,149436,
133.5,1938544,2059472,1937299,2652521,2146959,170939,
134.5,2034743,2173621,2068734,2857354,2283613,193517,
135.5,2133688,2297969,2203570,3068313,2425885,216772,
136.5,2235313,2432955,2341446,3284379,2573523,240368,
137.5,2339545,2578956,2481978,3504420,2726225,264016,
138.5,2446300,2736275,2624766,3727201,2883636,287459,
139.5,2555489,2905117,2769392,3951401,3045350,310472,
140.5,2667008,3085577,2915427,4175627,3210909,332857,
141.5,2780745,3277617,3062431,4398433,3379807,354453,
142.5,2896577,3481051,3209962,4618348,3551485,375133,
143.5,3014365,3695522,3357572,4833891,3725338,394811,
144.5,3133958,3920490,3504812,5043598,3900715,413444,
145.5,3255188,4155217,3651238,5246047,4076922,431029,
146.5,3377871,4398758,3796407,5439877,4253228,447609,
147.5,3501804,4649955,3939884,5623816,4428865,463261,
148.5,3626765,4907436,4081241,5796696,4603035,478092,
149.5,3752512,5169624,4220059,5957476,4774917,492224,
150.5,3878780,5434742,4355927,6105253,4943675,505788,
151.5,4005285,5700837,4488448,6239278,5108462,518899,
152.5,4131718,5965802,4617235,6358965,5268430,531646,
153.5,4257749,6227409,4741914,6463895,5422742,544076,
154.5,4383026,6483341,4862122,6553819,5570577,556184,
155.5,4507176,6731238,4977512,6628654,5711145,567903,
156.5,4629806,6968736,5087750,6688483,5843694,579106,
157.5,4750505,7193519,5192516,6733544,5967521,589606,
158.5,4868847,7403363,5291507,6764218,6081984,599169,
159.5,4984392,7596183,5384433,6781020,6186507,607525,
160.5,5096690,7770076,5471024,6784580,6280593,614382,
161.5,5205287,7923363,5551027,6775629,6363827,619448,
162.5,5309724,8054624,5624207,6754982,6435884,622441,
163.5,5409546,8162722,5690351,6723519,6496535,623109,
164.5,5504305,8246826,5749267,6682169,6545642,621240,
165.5,5593562,8306426,5800785,6631891,6583166,616673,
166.5,5676899,8341333,5844762,6573662,6609164,609310,
167.5,5753916,8351679,5881078,6508454,6623782,599111,
168.5,5824241,8337902,5909641,6437229,6627253,586105,
169.5,5887533,8300730,5930389,6360921,6619893,570383,
170.5,5943486,8241155,5943289,6280425,6602089,552101,
171.5,5991835,8160403,5948339,6196590,6574292,531467,
172.5,6032354,8059901,5945566,6110212,6537008,508743,
173.5,6064867,7941239,5935034,6022025,6490791,484236,
174.5,6089243,7806134,5916835,5932697,6436227,458290,
175.5,6105402,7656390,5891095,5842828,6373929,431278,
176.5,6113312,7493864,5857972,5752947,6304524,403602,
177.5,6112995,7320429,5817657,5663514,6228649,375683,
178.5,6104519,7137941,5770367,5574914,6146935,347959,
179.5,6088002,6948213,5716352,5487461,6060007,320884,
180.5,6063609,6752989,5655887,5401404,5968472,294928,
181.5,6031548,6553920,5589273,5316918,5872915,270573,
182.5,5992067,6352554,5516833,5234119,5773893,248308,
183.5,5945452,6150315,5438912,5153057,5671934,228618,
184.5,5892021,5948503,5355871,5073723,5567529,211951,
185.5,5832122,5748280,5268086,4996054,5461135,198673,
186.5,5766126,5550677,5175945,4919934,5353170,188998,
187.5,5694425,5356587,5079844,4845195,5244013,182928,
188.5,5617425,5166775,4980187,4771628,5134004,180219,
189.5,5535543,4981880,4877376,4698982,5023445,180413,
190.5,5449203,4802420,4771817,4626968,4912602,182914,
191.5,5358830,4628805,4663910,4555267,4801703,187083,
192.5,5264848,4461342,4554049,4483532,4690943,192320,
193.5,5167674,4300248,4442620,4411395,4580484,198100,
194.5,5067719,4145654,4329997,4338472,4470460,203995,
195.5,4965381,3997618,4216542,4264372,4360978,209668,
196.5,4861043,3856136,4102601,4188698,4252119,214858,
197.5,4755074,3721146,3988504,4111060,4143946,219370,
198.5,4647824,3592539,3874563,4031081,4036502,223060,
