NTA Experiment Summary File,
65.5,504,162989,44550,3,52012,38438,
66.5,457,155893,33137,6,47373,36995,
67.5,422,145713,24025,12,42543,34845,
68.5,398,133582,17121,23,37781,32181,
69.5,384,120579,12085,43,33273,29236,
70.5,378,107603,8510,79,29143,26226,
71.5,380,95314,6018,139,25463,23323,
72.5,391,84127,4299,237,22264,20643,
73.5,412,74254,3117,393,19544,18248,
74.5,443,65750,2306,633,17283,16161,
75.5,488,58571,1745,990,15449,14377,
76.5,548,52613,1356,1508,14006,12871,
77.5,629,47744,1085,2236,12923,11612,
78.5,736,43831,894,3235,12174,10568,
79.5,878,40748,759,4571,11739,9710,
80.5,1066,38383,665,6317,11608,9018,
81.5,1315,36644,601,8552,11778,8481,
82.5,1645,35454,559,11356,12254,8105,
83.5,2085,34756,535,14812,13047,7912,
84.5,2671,34508,526,19002,14177,7934,
85.5,3452,34682,530,24008,15668,8213,
86.5,4494,35262,546,29915,17554,8785,
87.5,5881,36248,575,36805,19877,9674,
88.5,7718,37647,616,44765,22686,10887,
89.5,10141,39482,671,53883,26044,12424,
90.5,13317,41786,742,64255,30025,14279,
91.5,17446,44606,830,75984,34716,16450,
92.5,22763,48002,940,89181,40221,18942,
93.5,29538,52052,1074,103968,46658,21765,
94.5,38070,56851,1238,120481,54160,24942,
95.5,48678,62513,1438,138865,62874,28505,
96.5,61687,69178,1681,159279,72956,32498,
97.5,77413,77009,1978,181892,84573,36970,
98.5,96142,86201,2341,206883,97892,41981,
99.5,118110,96981,2788,234439,113079,47589,
100.5,143482,109611,3340,264748,130295,53849,
101.5,172340,124394,4026,298000,149690,60805,
102.5,204665,141672,4883,334379,171400,68484,
103.5,240341,161829,5962,374059,195548,76894,
104.5,279155,185289,7328,417197,222242,86023,
105.5,320811,212511,9069,463927,251580,95839,
106.5,364951,243986,11302,514355,283649,106294,
107.5,411178,280221,14183,568548,318533,117327,
108.5,459082,321728,17921,626537,356317,128869,
109.5,508267,368999,22793,688302,397090,140846,
110.5,558375,422491,29168,753775,440952,153176,
111.5,609107,482586,37535,822836,488016,165763,
112.5,660238,549573,48538,895310,538415,178493,
113.5,711621,623606,63017,970971,592304,191213,
114.5,763196,704680,82061,1049540,649870,203713,
115.5,814988,792606,107062,1130697,711338,215708,
116.5,867097,886986,139772,1214080,776984,226810,
117.5,919694,987213,182362,1299295,847141,236513,
118.5,973011,1092468,237460,1385927,922216,244180,
119.5,1027325,1201738,308167,1473546,1002694,249047,
120.5,1082955,1313844,398033,1561718,1089138,250248,
121.5,1140245,1427485,510964,1650012,1182176,246869,
122.5,1199555,1541283,651057,1738013,1282477,238058,
123.5,1261253,1653843,822335,1825326,1390689,223222,
124.5,1325705,1763811,1028391,1911582,1507372,202397,
125.5,1393267,1869927,1271939,1996445,1632895,177027,
126.5,1464277,1971072,1554315,2079616,1767320,151726,
127.5,1539049,2066312,1874975,2160829,1910291,137289,
