NTA Experiment Summary File,
50.5,485470,1158578,1751391,1211986,1151856,259354,
51.5,484036,1151565,1769173,1130984,1133939,262395,
52.5,482512,1150646,1788013,1051322,1118123,267437,
53.5,480848,1155296,1801545,974260,1102987,273000,
54.5,478999,1164991,1803163,900826,1086995,277383,
55.5,476935,1179191,1786725,831804,1068664,278997,
56.5,474642,1197324,1747393,767742,1046775,276696,
57.5,472120,1218776,1682423,708974,1020573,270066,
58.5,469388,1242882,1591718,655648,989909,259622,
59.5,466478,1268934,1477947,607764,955281,246856,
60.5,463439,1296188,1346176,565205,917752,234067,
61.5,460329,1323877,1203074,527775,878764,223902,
62.5,457215,1351242,1055894,495227,839894,218589,
63.5,454172,1377557,911468,467286,802621,219139,
64.5,451277,1402161,775434,443675,768137,225040,
65.5,448610,1424492,651796,424125,737256,234692,
66.5,446248,1444113,542848,408389,710399,246204,
67.5,444267,1460732,449357,396250,687652,257971,
68.5,442737,1474219,370913,387529,668850,268895,
69.5,441725,1484602,306320,382084,653683,278355,
70.5,441291,1492064,253954,379814,641781,286096,
71.5,441488,1496923,212050,380660,632780,292106,
72.5,442366,1499607,178892,384604,626367,296520,
73.5,443966,1500631,152932,391669,622299,299550,
74.5,446326,1500559,132842,401915,620411,301445,
75.5,449478,1499983,117533,415439,620608,302457,
76.5,453450,1499487,106144,432370,622863,302828,
77.5,458268,1499635,98017,452868,627197,302780,
78.5,463954,1500945,92682,477117,633674,302510,
79.5,470528,1503879,89827,505320,642388,302188,
80.5,478011,1508835,89289,537695,653457,301957,
81.5,486422,1516142,91044,574462,667018,301930,
82.5,495782,1526061,95209,615839,683223,302188,
83.5,506113,1538779,102049,662028,702242,302780,
84.5,517440,1554422,111995,713208,724266,303718,
85.5,529793,1573051,125677,769520,749510,304968,
86.5,543203,1594669,143957,831058,778222,306445,
87.5,557711,1619230,167979,897856,810694,308006,
88.5,573360,1646643,199221,969878,847275,309438,
89.5,590202,1676781,239550,1047011,888386,310461,
90.5,608297,1709485,291265,1129058,934526,310727,
91.5,627712,1744577,357127,1215733,986287,309848,
92.5,648526,1781866,440344,1306660,1044349,307441,
93.5,670822,1821159,544492,1401381,1109463,303222,
94.5,694698,1862267,673363,1499355,1182421,297160,
95.5,720258,1905018,830704,1599972,1263988,289710,
96.5,747618,1949263,1019851,1702567,1354825,282133,
