NTA Experiment Summary File,
57.5,1179544,2550311,2494693,4414851,2659850,665245,
58.5,1305104,2520196,2502056,4412655,2685003,642231,
59.5,1433571,2480966,2504502,4389228,2702067,615326,
60.5,1563715,2434312,2503626,4346796,2712112,585352,
61.5,1694156,2382059,2500892,4287772,2716220,553204,
62.5,1823392,2326071,2497612,4214678,2715438,519817,
63.5,1949854,2268165,2494942,4130057,2710755,486128,
64.5,2071955,2210037,2493885,4036408,2703071,453039,
65.5,2188160,2153208,2495300,3936120,2693197,421374,
66.5,2297048,2098987,2499915,3831432,2681846,391838,
67.5,2397379,2048460,2508340,3724394,2669643,364979,
68.5,2488142,2002488,2521084,3616847,2657140,341160,
69.5,2568604,1961722,2538570,3510411,2644827,320542,
70.5,2638329,1926625,2561146,3406485,2633147,303100,
71.5,2697192,1897498,2589100,3306252,2622510,288652,
72.5,2745365,1874505,2622668,3210692,2613308,276921,
73.5,2783304,1857703,2662043,3120600,2605912,267603,
74.5,2811703,1847065,2707381,3036605,2600688,260429,
75.5,2831461,1842501,2758807,2959190,2597990,255212,
76.5,2843631,1843878,2816418,2888716,2598161,251869,
77.5,2849369,1851031,2880285,2825439,2601531,250418,
78.5,2849894,1863781,2950453,2769533,2608415,250955,
79.5,2846444,1881940,3026944,2721106,2619108,253613,
80.5,2840238,1905320,3109752,2680215,2633881,258519,
81.5,2832456,1933741,3198845,2646884,2652982,265757,
82.5,2824209,1967034,3294162,2621111,2676629,275338,
83.5,2816534,2005044,3395612,2602884,2705018,287192,
84.5,2810378,2047633,3503071,2592183,2738316,301170,
85.5,2806602,2094684,3616380,2588994,2776665,317062,
86.5,2805978,2146100,3735346,2593307,2820183,334612,
87.5,2809194,2201805,3859739,2605129,2868967,353544,
88.5,2816861,2261743,3989293,2624480,2923094,373566,
89.5,2829521,2325880,4123703,2651399,2982626,394390,
90.5,2847653,2394199,4262633,2685943,3047607,415734,
91.5,2871681,2466699,4405712,2728194,3118071,437323,
92.5,2901983,2543394,4552540,2778251,3194042,458897,
93.5,2938896,2624308,4702691,2836236,3275533,480207,
94.5,2982720,2709473,4855719,2902292,3362551,501013,
95.5,3033725,2798924,5011164,2976581,3455098,521092,
96.5,3092152,2892693,5168556,3059284,3553171,540229,
97.5,3158216,2990811,5327425,3150597,3656762,558223,
98.5,3232109,3093293,5487308,3250732,3765861,574890,
99.5,3313995,3200145,5647753,3359914,3880452,590057,
100.5,3404015,3311350,5808332,3478377,4000518,603572,
101.5,3502280,3426871,5968641,3606361,4126038,615302,
102.5,3608876,3546642,6128315,3744109,4256985,625137,
103.5,3723854,3670568,6287026,3891863,4393328,632991,
104.5,3847234,3798522,6444493,4049862,4535028,638810,
105.5,3979000,3930340,6600483,4218331,4682039,642571,
106.5,4119098,4065826,6754815,4397482,4834305,644286,
107.5,4267435,4204744,6907362,4587506,4991762,644010,
108.5,4423877,4346826,7058047,4788565,5154329,641843,
109.5,4588249,4491770,7206849,5000789,5321914,637933,
110.5,4760335,4639243,7353794,5224265,5494409,632486,
111.5,4939879,4788886,7498956,5459034,5671689,625767,
112.5,5126589,4940316,7642448,5705079,5853608,618106,
113.5,5320135,5093138,7784422,5962321,6040004,609904,
114.5,5520157,5246940,7925060,6230612,6230693,601630,
115.5,5726267,5401312,8064566,6509725,6425468,593824,
116.5,5938053,5555844,8203163,6799347,6624102,587082,
117.5,6155086,5710136,8341080,7099077,6826345,582045,
118.5,6376926,5863806,8478552,7408416,7031925,579368,
119.5,6603122,6016493,8615804,7726763,7240546,579681,
120.5,6833227,6167869,8753053,8053417,7451891,583546,
121.5,7066793,6317637,8890491,8387566,7665622,591409,
122.5,7303382,6465540,9028289,8728295,7881377,603555,
123.5,7542570,6611365,9166581,9074583,8098775,620092,
124.5,7783946,6754942,9305466,9425306,8317415,640935,
125.5,8027119,6896148,9444999,9779245,8536878,665833,
126.5,8271718,7034906,9585188,10135091,8756726,694390,
127.5,8517395,7171184,9725990,10491454,8976506,726106,
128.5,8763821,7304993,9867310,10846875,9195750,760413,
129.5,9010689,7436388,10008997,11199838,9413978,796704,
130.5,9257711,7565459,10150846,11548785,9630700,834363,
131.5,9504617,7692328,10292592,11892130,9845417,872780,
132.5,9751150,7817151,10433921,12228280,10057626,911363,
133.5,9997065,7940102,10574463,12555648,10266819,949551,
134.5,10242125,8061377,10713799,12872672,10472493,986815,
135.5,10486096,8181186,10851466,13177837,10674146,1022665,
136.5,10728745,8299746,10986959,13469686,10871284,1056653,
137.5,10969833,8417279,11119740,13746844,11063424,1088376,
138.5,11209116,8534002,11249243,14008028,11250097,1117476,
139.5,11446335,8650129,11374880,14252069,11430853,1143644,
140.5,11681217,8765863,11496055,14477915,11605262,1166620,
141.5,11913470,8881392,11612163,14684653,11772920,1186196,
142.5,12142783,8996885,11722609,14871509,11933446,1202216,
143.5,12368817,9112490,11826810,15037861,12086494,1214578,
144.5,12591213,9228333,11924204,15183239,12231747,1223233,
145.5,12809581,9344511,12014262,15307331,12368921,1228185,
146.5,13023505,9461094,12096496,15409979,12497768,1229491,
147.5,13232542,9578119,12170460,15491182,12618076,1227260,
148.5,13436222,9695593,12235767,15551083,12729666,1221650,
149.5,13634050,9813490,12292083,15589973,12832399,1212869,
150.5,13825506,9931749,12339141,15608273,12926167,1201167,
151.5,14010047,10050275,12376739,15606531,13010898,1186839,
152.5,14187113,10168939,12404743,15585410,13086551,1170216,
153.5,14356129,10287576,12423089,15545674,13153117,1151659,
154.5,14516507,10405987,12431781,15488177,13210613,1131561,
155.5,14667654,10523938,12430889,15413852,13259083,1110331,
156.5,14808973,10641163,12420550,15323694,13298595,1088392,
157.5,14939871,10757363,12400959,15218749,13329235,1066171,
158.5,15059764,10872206,12372367,15100103,13351110,1044086,
159.5,15168083,10985333,12335075,14968866,13364339,1022540,
160.5,15264278,11096356,12289429,14826162,13369056,1001906,
161.5,15347827,11204861,12235812,14673119,13365405,982515,
162.5,15418239,11310411,12174640,14510855,13353536,964648,
163.5,15475065,11412546,12106352,14340474,13333609,948519,
164.5,15517895,11510792,12031405,14163052,13305786,934273,
165.5,15546373,11604657,11950269,13979633,13270233,921978,
166.5,15560196,11693638,11863419,13791221,13227119,911624,
167.5,15559119,11777228,11771330,13598774,13176613,903127,
168.5,15542961,11854913,11674472,13403202,13118887,896332,
169.5,15511610,11926181,11573304,13205359,13054114,891029,
170.5,15465019,11990527,11468274,13006045,12982466,886959,
171.5,15403215,12047453,11359808,12806000,12904119,883831,
172.5,15326297,12096479,11248318,12605906,12819250,881336,
173.5,15234437,12137143,11134188,12406383,12728038,879157,
174.5,15127877,12169007,11017782,12207991,12630664,876985,
175.5,15006933,12191663,10899438,12011232,12527316,874523,
176.5,14871987,12204736,10779467,11816549,12418185,871496,
177.5,14723488,12207889,10658156,11624326,12303465,867656,
178.5,14561949,12200827,10535765,11434895,12183359,862784,
179.5,14387937,12183302,10412530,11248533,12058076,856695,
180.5,14202076,12155114,10288663,11065466,11927830,849235,
181.5,14005034,12116116,10164352,10885875,11792844,840281,
182.5,13797524,12066213,10039765,10709891,11653348,829744,
183.5,13580293,12005369,9915050,10537605,11509579,817563,
184.5,13354117,11933603,9790334,10369069,11361781,803705,
185.5,13119797,11850995,9665729,10204295,11210204,788163,
186.5,12878148,11757679,9541332,10043264,11055106,770953,
187.5,12629995,11653847,9417227,9885925,10896748,752113,
188.5,12376168,11539748,9293483,9732197,10735399,731701,
189.5,12117494,11415683,9170164,9581975,10571329,709791,
190.5,11854791,11282002,9047319,9435131,10404811,686475,
191.5,11588865,11139106,8924995,9291517,10236121,661855,
192.5,11320502,10987436,8803230,9150966,10065534,636049,
193.5,11050465,10827475,8682058,9013300,9893324,609181,
194.5,10779491,10659740,8561509,8878323,9719766,581389,
195.5,10508286,10484779,8441610,8745835,9545127,552814,
196.5,10237522,10303164,8322386,8615624,9369674,523607,
197.5,9967835,10115488,8203861,8487476,9193665,493922,
198.5,9699823,9922359,8086058,8361172,9017353,463922,
199.5,9434046,9724396,7969000,8236493,8840984,433773,
200.5,9171023,9522220,7852709,8113221,8664793,403646,
201.5,8911231,9316455,7737207,7991144,8489009,373722,
202.5,8655107,9107719,7622519,7870051,8313849,344187,
203.5,8403047,8896621,7508667,7749742,8139519,315245,
204.5,8155408,8683757,7395675,7630025,7966216,287112,
205.5,7912504,8469708,7283568,7510718,7794125,260034,
206.5,7674616,8255034,7172370,7391651,7623418,234293,
207.5,7441985,8040273,7062106,7272670,7454258,210222,
208.5,7214817,7825936,6952798,7153633,7286796,188224,
209.5,6993284,7612509,6844471,7034415,7121170,168784,
210.5,6777528,7400449,6737147,6914909,6957508,152469,
211.5,6567660,7190183,6630848,6795025,6795929,139879,
212.5,6363762,6982105,6525594,6674690,6636538,131526,
213.5,6165892,6776582,6421403,6553852,6479432,127642,
214.5,5974081,6573945,6318293,6432476,6324699,128034,
215.5,5788342,6374497,6216277,6310548,6172416,132084,
216.5,5608663,6178507,6115368,6188070,6022652,138936,
217.5,5435016,5986218,6015576,6065063,5875468,147716,
218.5,5267357,5797840,5916907,5941569,5730918,157674,
219.5,5105625,5613554,5819366,5817641,5589047,168226,
220.5,4949746,5433518,5722954,5693354,5449893,178944,
221.5,4799637,5257859,5627669,5568794,5313490,189523,
222.5,4655201,5086683,5533507,5444061,5179863,199753,
223.5,4516335,4920072,5440460,5319270,5049034,209492,
224.5,4382925,4758085,5348518,5194543,4921018,218644,
225.5,4254854,4600763,5257667,5070014,4795824,227152,
226.5,4131997,4448126,5167891,4945823,4673459,234982,
227.5,4014227,4300179,5079173,4822118,4553924,242122,
228.5,3901412,4156910,4991492,4699049,4437216,248569,
229.5,3793418,4018293,4904825,4576771,4323327,254333,
230.5,3690109,3884290,4819148,4455438,4212246,259431,
231.5,3591348,3754851,4734435,4335204,4103959,263884,
232.5,3496997,3629916,4650657,4216222,3998448,267718,
233.5,3406919,3509414,4567788,4098641,3895691,270957,
234.5,3320977,3393269,4485798,3982605,3795662,273630,
235.5,3239036,3281397,4404658,3868253,3698336,275765,
236.5,3160959,3173708,4324338,3755715,3603680,277390,
237.5,3086616,3070107,4244809,3645116,3511662,278530,
238.5,3015874,2970495,4166042,3536571,3422246,279213,
