NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,HOT1A3_12h_A_LS 2020-09-21 10-36-33.nano,
Operator Name,EF,
Time Captured,10:36:33  21/09/2020,
Sample Description,HOT1A3_12h_A_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
6.5,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,
17.5,0,2,0,0,0,0,
18.5,0,11,0,0,3,3,
19.5,0,53,0,0,13,13,
20.5,0,195,0,0,49,49,
21.5,0,580,0,0,145,145,
22.5,0,1427,0,0,357,357,
23.5,0,2977,0,0,744,744,
24.5,0,5372,0,0,1343,1343,
25.5,0,8535,0,0,2134,2134,
26.5,1,12132,0,0,3033,3033,
27.5,4,15645,0,0,3912,3911,
28.5,9,18533,0,0,4636,4633,
29.5,21,20392,0,0,5103,5096,
30.5,44,21049,0,0,5273,5259,
31.5,86,20568,0,0,5163,5135,
32.5,158,19180,0,0,4835,4782,
33.5,275,17201,0,0,4369,4278,
34.5,452,14939,0,0,3848,3699,
35.5,705,12651,0,0,3339,3108,
36.5,1048,10513,0,0,2890,2553,
37.5,1488,8628,0,0,2529,2063,
38.5,2026,7036,0,0,2265,1660,
39.5,2650,5736,0,0,2097,1365,
40.5,3339,4704,0,0,2011,1194,
41.5,4063,3901,0,0,1991,1150,
42.5,4784,3291,0,0,2019,1205,
43.5,5463,2838,0,0,2075,1312,
44.5,6061,2513,0,0,2143,1434,
45.5,6545,2293,0,0,2210,1543,
46.5,6891,2163,0,0,2263,1625,
47.5,7085,2113,0,0,2300,1671,
48.5,7125,2139,0,0,2316,1680,
49.5,7018,2243,0,0,2315,1654,
50.5,6779,2433,0,0,2303,1598,
51.5,6431,2723,0,0,2288,1523,
52.5,5997,3133,0,0,2283,1442,
53.5,5505,3692,0,0,2299,1378,
54.5,4980,4434,0,0,2353,1363,
55.5,4442,5397,0,0,2460,1434,
56.5,3912,6624,0,0,2634,1618,
57.5,3405,8153,0,0,2889,1929,
58.5,2931,10008,0,0,3235,2361,
59.5,2497,12190,0,0,3672,2900,
60.5,2107,14662,0,0,4192,3525,
61.5,1762,17338,0,0,4775,4208,
62.5,1462,20076,0,0,5385,4909,
63.5,1204,22682,0,0,5971,5577,
64.5,985,24925,0,0,6477,6153,
65.5,800,26569,0,0,6842,6578,
66.5,646,27412,1,0,7015,6801,
67.5,519,27322,2,0,6961,6788,
68.5,415,26270,4,2,6673,6533,
69.5,331,24337,9,5,6171,6056,
70.5,262,21707,17,12,5500,5403,
71.5,207,18629,32,26,4724,4635,
72.5,163,15380,57,53,3913,3822,
73.5,128,12213,99,101,3135,3026,
74.5,100,9331,165,180,2444,2296,
75.5,78,6861,268,306,1878,1662,
76.5,61,4858,421,492,1458,1137,
77.5,48,3314,642,755,1189,725,
78.5,37,2181,949,1102,1067,439,
79.5,29,1385,1361,1537,1078,352,
80.5,22,850,1897,2049,1205,476,
81.5,17,505,2570,2617,1427,681,
82.5,13,291,3384,3208,1724,910,
83.5,10,162,4336,3780,2072,1153,
84.5,8,88,5409,4289,2449,1405,
85.5,6,47,6572,4694,2830,1663,
86.5,5,24,7783,4963,3193,1924,
87.5,4,12,8986,5077,3520,2179,
88.5,3,6,10123,5035,3792,2421,
89.5,2,3,11131,4849,3996,2638,
90.5,2,1,11953,4541,4124,2820,
91.5,1,0,12543,4142,4172,2956,
92.5,0,0,12867,3687,4139,3036,
93.5,0,0,12911,3208,4030,3055,
94.5,0,0,12678,2732,3853,3012,
95.5,0,0,12190,2282,3618,2907,
96.5,0,0,11482,1872,3339,2750,
97.5,0,0,10600,1511,3028,2549,
98.5,0,0,9597,1202,2700,2316,
99.5,0,0,8525,943,2367,2065,
100.5,0,0,7435,732,2042,1806,
