NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,BGP6_12h_C_LS 2020-11-03 10-46-02.nano,
Operator Name,EF,
Time Captured,10:46:02  03/11/2020,
Sample Description,BGP6_12h_C_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,BGP6_12h_C_LS 2020-11-03 10-46-28,BGP6_12h_C_LS 2020-11-03 10-47-37,BGP6_12h_C_LS 2020-11-03 10-48-46,BGP6_12h_C_LS 2020-11-03 10-49-55,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,22.035,22.061,22.115,22.169,
Viscosity/cP,0.952149,0.951562,0.950343,0.949127,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,4,4,4,4,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,14.1277,14.1277,14.1277,33.6106,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),6.02e+06,4.62e+06,4.33e+06,6.20e+06,5.29e+06,4.77e+05,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,0.6,0.6,0.5,0.7,0.6,0.0,
Centres per frame,0.7,0.9,0.8,1.5,1.0,0.2,
Completed tracks,77,116,114,175,,,
X-Drift (pix/frame),-11.6,-10.7,-11.4,-13.2,,,
Y-Drift (pix/frame),-0.5,-0.0,0.4,0.0,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Unreliable,Unreliable,Unreliable,Unreliable,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,Too Low,Too Low,Too Low,Too Low,
Noise level,Noise detected,High noise,High noise,High noise,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,<100,<200,<200,<200,
Concentration,Very low concentration,Very low concentration,Very low concentration,Very low concentration,
Video length,OK,OK,OK,OK,
Noise level,Noise detected,High noise,High noise,High noise,
Vibration detected,No,No,No,No,
Vibration correction applied,No,No,No,No,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,BGP6_12h_C_LS 2020-11-03 10-46-28,BGP6_12h_C_LS 2020-11-03 10-47-37,BGP6_12h_C_LS 2020-11-03 10-48-46,BGP6_12h_C_LS 2020-11-03 10-49-55,Average,Standard Error,
Mean,118.2,123.5,119.6,116.6,119.5,1.5,
Mode,54.5,83.3,47.4,17.6,50.7,13.5,
SD,42.2,79.6,50.9,57.6,57.6,8.0,
D10,56.1,51.0,46.9,20.6,43.7,7.9,
D50,116.4,85.7,120.0,104.3,106.6,7.7,
D90,174.6,310.0,189.5,195.5,217.4,31.2,
Valid Tracks,41.0,34.0,26.0,35.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,
10.5,0,0,0,5,1,1,
11.5,0,0,0,43,11,11,
12.5,0,0,0,402,101,101,
13.5,0,0,0,3255,814,814,
14.5,0,0,0,18348,4587,4587,
15.5,0,0,0,63236,15809,15809,
16.5,0,0,0,128813,32203,32203,
17.5,0,0,0,161168,40292,40292,
18.5,0,0,0,134699,33675,33675,
19.5,0,0,0,83730,20932,20932,
20.5,0,0,0,43394,10848,10848,
21.5,0,0,0,20884,5221,5221,
22.5,0,0,0,10226,2557,2556,
23.5,0,0,0,5456,1364,1364,
24.5,0,3,0,3312,829,828,
25.5,0,10,0,2334,586,583,
26.5,0,24,0,1911,484,476,
27.5,0,52,0,1796,462,445,
28.5,0,100,0,1895,499,466,
29.5,0,168,0,2192,590,535,
30.5,0,254,0,2707,740,658,
31.5,0,352,0,3482,958,845,
32.5,0,451,0,4563,1253,1108,
33.5,0,548,0,5979,1632,1455,
34.5,0,645,0,7711,2089,1880,
35.5,0,754,0,9671,2606,2362,
36.5,0,897,0,11689,3147,2855,
37.5,0,1107,7,13528,3660,3300,
38.5,0,1441,54,14935,4108,3624,
39.5,0,2000,345,15696,4510,3754,
40.5,0,2958,1686,15700,5086,3589,
41.5,0,4626,6404,14960,6498,3127,
42.5,0,7527,19019,13609,10039,4087,
43.5,0,12459,44609,11854,17231,9566,
44.5,5,20441,83675,9924,28511,18855,
45.5,50,32351,127368,8021,41948,29291,
46.5,363,48128,159958,6289,53684,36985,
47.5,1860,65792,168780,4809,60310,39043,
48.5,6930,81155,152562,3609,61064,35364,
49.5,19282,89171,120566,2674,57923,28057,
50.5,41283,86653,85062,1970,53742,20207,
51.5,70265,74371,54719,1452,50202,16792,
52.5,98364,56624,32771,1079,47210,20498,
53.5,117239,38628,18646,814,43832,25659,
54.5,123091,23974,10275,628,39492,28275,
55.5,117596,13811,5582,498,34372,27877,
56.5,105310,7567,3039,410,29081,25452,
57.5,90730,4054,1681,351,24204,22188,
58.5,76838,2188,957,314,20074,18925,
59.5,65032,1227,566,296,16780,16085,
60.5,55641,736,350,293,14255,13796,
61.5,48451,485,228,306,12367,12028,
62.5,43047,358,157,336,10975,10691,
63.5,38992,301,114,388,9949,9681,
64.5,35897,289,88,469,9186,8904,
65.5,33435,318,71,592,8604,8278,
66.5,31349,395,61,774,8145,7736,
67.5,29445,548,54,1045,7773,7227,
68.5,27591,831,51,1444,7479,6710,
69.5,25710,1350,49,2032,7285,6155,
70.5,23781,2298,50,2891,7255,5543,
71.5,21818,4013,51,4132,7504,4865,
72.5,19864,7050,54,5898,8217,4173,
73.5,17972,12249,59,8363,9661,3760,
74.5,16195,20746,66,11721,12182,4439,
75.5,14576,33851,74,16169,16167,6918,
76.5,13142,52719,84,21878,21956,11189,
77.5,11909,77823,97,28950,29694,17101,
78.5,10879,108352,113,37378,39181,24350,
79.5,10048,141834,133,47013,49757,32307,
80.5,9405,174262,158,57543,60342,40002,
81.5,8940,200873,188,68506,69627,46306,
82.5,8643,217379,226,79327,76394,50230,
83.5,8504,221178,274,89388,79836,51224,
84.5,8521,212062,333,98104,79755,49349,
85.5,8692,192128,407,105001,76557,45250,
86.5,9021,165023,501,109768,71078,39953,
87.5,9517,134862,619,112292,64323,34567,
88.5,10191,105273,768,112647,57220,29972,
89.5,11062,78812,958,111063,50473,26582,
90.5,12148,56825,1197,107880,44513,24308,
91.5,13474,39628,1501,103495,39524,22761,
92.5,15066,26844,1884,98309,35526,21540,
93.5,16952,17738,2367,92692,32437,20393,
94.5,19161,11481,2974,86961,30144,19225,
95.5,21719,7308,3731,81365,28531,18035,
96.5,24650,4594,4671,76086,27500,16869,
97.5,27971,2861,5830,71248,26978,15784,
98.5,31692,1773,7245,66921,26908,14839,
99.5,35809,1096,8958,63138,27250,14083,
100.5,40308,679,11009,59902,27975,13554,
101.5,45156,422,13437,57196,29053,13276,
102.5,50303,264,16275,54989,30458,13255,
103.5,55677,167,19550,53242,32159,13479,
104.5,61190,107,23274,51911,34120,13916,
105.5,66731,70,27448,50948,36299,14525,
106.5,72176,46,32051,50302,38644,15258,
107.5,77386,31,37044,49922,41096,16066,
108.5,82215,21,42365,49751,43588,16906,
109.5,86519,15,47928,49731,46048,17734,
110.5,90158,11,53625,49803,48399,18517,
111.5,93008,8,59331,49901,50562,19224,
112.5,94968,6,64903,49963,52460,19831,
113.5,95968,5,70189,49924,54021,20321,
114.5,95969,4,75030,49723,55182,20680,
115.5,94974,3,79273,49306,55889,20898,
116.5,93020,3,82774,48626,56106,20971,
117.5,90182,3,85409,47650,55811,20894,
118.5,86565,3,87077,46357,55000,20665,
119.5,82298,2,87713,44745,53690,20286,
120.5,77527,2,87286,42826,51910,19758,
121.5,72401,3,85804,40631,49710,19085,
122.5,67072,3,83318,38203,47149,18276,
123.5,61679,3,79914,35595,44298,17341,
124.5,56349,3,75712,32870,41234,16297,
125.5,51188,4,70858,30090,38035,15165,
126.5,46280,5,65515,27316,34779,13970,
127.5,41688,6,59856,24606,31539,12738,
128.5,37455,8,54049,22008,28380,11499,
129.5,33602,11,48254,19561,25357,10281,
130.5,30138,14,42613,17292,22514,9109,
131.5,27056,19,37241,15219,19884,8006,
132.5,24343,27,32231,13351,17488,6990,
133.5,21977,37,27644,11688,15337,6076,
