NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,ATCC_144h_C_LS 2020-09-18 13-12-14.nano,
Operator Name,Jen,
Time Captured,13:12:14  18/09/2020,
Sample Description,ATCC_144h_C_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,ATCC_144h_C_LS 2020-09-18 13-12-43,ATCC_144h_C_LS 2020-09-18 13-13-52,ATCC_144h_C_LS 2020-09-18 13-15-01,ATCC_144h_C_LS 2020-09-18 13-16-10,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,25.069,25.070,25.096,25.149,
Viscosity/cP,0.887297,0.887276,0.886752,0.885683,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,6,6,6,6,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,12.2245,12.6201,13.3834,14.1704,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
43.5,0,0,2404,16,605,600,
44.5,0,0,1723,37,440,428,
45.5,0,1,1263,83,337,309,
46.5,0,3,955,181,285,227,
47.5,0,6,751,381,285,179,
48.5,0,13,617,771,350,201,
49.5,0,26,534,1495,514,350,
50.5,0,50,486,2781,829,660,
51.5,0,96,467,4953,1379,1196,
52.5,2,178,473,8444,2274,2059,
53.5,4,325,504,13780,3653,3377,
54.5,8,580,563,21534,5671,5289,
55.5,16,1012,656,32256,8485,7926,
56.5,30,1730,793,46371,12231,11385,
57.5,57,2889,991,64093,17008,15706,
58.5,104,4715,1272,85349,22860,20853,
59.5,185,7515,1667,109758,29781,26706,
60.5,320,11690,2219,136668,37724,33075,
61.5,539,17739,2988,165232,46625,39718,
62.5,884,26252,4049,194522,56426,46376,
63.5,1414,37876,5499,223642,67108,52812,
64.5,2205,53275,7462,251831,78693,58841,
65.5,3355,73060,10085,278518,91254,64365,
66.5,4986,97710,13542,303356,104899,69381,
67.5,7244,127498,18033,326211,119746,73988,
68.5,10294,162417,23776,347135,135906,78354,
69.5,14324,202149,31002,366322,153449,82682,
70.5,19534,246059,39945,384060,172399,87148,
71.5,26131,293229,50831,400694,192721,91851,
72.5,34324,342537,63868,416590,214330,96776,
73.5,44317,392755,79229,432109,237103,101795,
74.5,56300,442650,97049,447595,260899,106691,
75.5,70448,491096,117412,463361,285579,111207,
76.5,86915,537148,140351,479693,311027,115085,
77.5,105834,580102,165841,496846,337156,118104,
78.5,127320,619515,193811,515050,363924,120099,
79.5,151469,655206,224144,534516,391334,120974,
80.5,178359,687223,256690,555439,419428,120696,
81.5,208057,715810,291275,578008,448287,119289,
82.5,240618,741354,327714,602406,478023,116822,
83.5,276085,764340,365828,628821,508768,113396,
84.5,314490,785309,405447,657442,540672,109135,
85.5,355852,804818,446432,688468,573893,104180,
86.5,400172,823416,488673,722104,608591,98680,
87.5,447433,841619,532106,758565,644931,92796,
88.5,497594,859905,576709,798072,683070,86704,
89.5,550586,878702,622511,840848,723162,80600,
90.5,606313,898385,669592,887117,765352,74715,
91.5,664653,919280,718079,937098,809777,69325,
92.5,725455,941667,768146,990998,856567,64757,
93.5,788548,965781,820013,1049005,905837,61382,
94.5,853744,991822,873936,1111282,957696,59564,
95.5,920851,1019952,930207,1177957,1012242,59584,
96.5,989674,1050309,989146,1249115,1069561,61549,
97.5,1060034,1083004,1051096,1324795,1129732,65367,
98.5,1131768,1118129,1116415,1404977,1192822,70802,
99.5,1204744,1155759,1185468,1489582,1258888,77555,
100.5,1278857,1195957,1258623,1578464,1327975,85341,
101.5,1354041,1238774,1336238,1671417,1400117,93914,
102.5,1430261,1284256,1418654,1768166,1475334,103080,
103.5,1507511,1332442,1506186,1868381,1553630,112683,
104.5,1585811,1383367,1599110,1971679,1634992,122604,
105.5,1665193,1437066,1697653,2077631,1719386,132745,
106.5,1745692,1493573,1801980,2185782,1806757,143031,
107.5,1827338,1552924,1912183,2295653,1897024,153405,
108.5,1910139,1615153,2028270,2406763,1990081,163820,
109.5,1994075,1680299,2150151,2518639,2085791,174245,
110.5,2079083,1748400,2277631,2630828,2183986,184657,
111.5,2165059,1819494,2410398,2742911,2284465,195040,
112.5,2251843,1893619,2548020,2854508,2386998,205383,
113.5,2339226,1970810,2689942,2965290,2491317,215670,
114.5,2426948,2051097,2835485,3074975,2597126,225880,
115.5,2514707,2134503,2983852,3183338,2704100,235980,
116.5,2602166,2221041,3134137,3290203,2811887,245919,
117.5,2688964,2310712,3285340,3395440,2920114,255624,
118.5,2774737,2403499,3436384,3498960,3028395,265004,
119.5,2859126,2499368,3586137,3600708,3136335,273943,
120.5,2941801,2598261,3733438,3700652,3243538,282309,
121.5,3022471,2700098,3877125,3798776,3349617,289958,
122.5,3100904,2804769,4016064,3895070,3454202,296737,
123.5,3176938,2912136,4149178,3989520,3556943,302496,
124.5,3250490,3022029,4275476,4082104,3657525,307092,
125.5,3321561,3134248,4394076,4172781,3755666,310398,
126.5,3390240,3248559,4504230,4261489,3851130,312310,
127.5,3456702,3364697,4605343,4348139,3943720,312750,
128.5,3521200,3482368,4696979,4432613,4033290,311675,
129.5,3584060,3601249,4778875,4514763,4119737,309070,
130.5,3645665,3720993,4850941,4594413,4203003,304957,
131.5,3706446,3841231,4913252,4671361,4283073,299390,
132.5,3766867,3961577,4966046,4745380,4359968,292455,
133.5,3827406,4081632,5009705,4816227,4433743,284261,
134.5,3888547,4200991,5044742,4883643,4504481,274943,
135.5,3950759,4319246,5071780,4947364,4572287,264654,
136.5,4014487,4435993,5091534,5007127,4637285,253561,
137.5,4080140,4550838,5104786,5062674,4699609,241844,
138.5,4148074,4663398,5112369,5113762,4759401,229691,
139.5,4218593,4773313,5115139,5160168,4816803,217304,
140.5,4291931,4880243,5113966,5201698,4871959,204898,
141.5,4368250,4983876,5109706,5238189,4925005,192709,
142.5,4447637,5083930,5103195,5269515,4976069,181003,
143.5,4530094,5180155,5095231,5295594,5025269,170088,
144.5,4615541,5272334,5086566,5316386,5072707,160318,
145.5,4703812,5360283,5077896,5331898,5118472,152100,
146.5,4794657,5443854,5069856,5342183,5162637,145870,
147.5,4887741,5522930,5063015,5347342,5205257,142054,
148.5,4982652,5597429,5057871,5347519,5246368,140994,
149.5,5078900,5667295,5054854,5342900,5285987,142870,
150.5,5175929,5732501,5054321,5333711,5324115,147654,
151.5,5273120,5793045,5056559,5320214,5360734,155116,
152.5,5369806,5848945,5061783,5302699,5395808,164887,
153.5,5465278,5900238,5070142,5281484,5429286,176522,
154.5,5558799,5946975,5081716,5256906,5461099,189571,
155.5,5649617,5989220,5096520,5229319,5491169,203608,
156.5,5736978,6027041,5114505,5199085,5519403,218247,
157.5,5820143,6060516,5135562,5166573,5545698,233150,
158.5,5898395,6089722,5159522,5132149,5569947,248019,
159.5,5971059,6114735,5186160,5096178,5592033,262597,
160.5,6037511,6135631,5215196,5059014,5611838,276661,
161.5,6097189,6152479,5246298,5020999,5629241,290022,
162.5,6149603,6165340,5279088,4982460,5644123,302521,
163.5,6194344,6174271,5313140,4943704,5656365,314025,
164.5,6231086,6179318,5347988,4905019,5665853,324428,
165.5,6259592,6180517,5383131,4866667,5672477,333649,
166.5,6279715,6177897,5418033,4828888,5676133,341628,
167.5,6291396,6171476,5452134,4791895,5676725,348325,
168.5,6294662,6161263,5484854,4755874,5674163,353716,
169.5,6289620,6147262,5515599,4720984,5668366,357790,
170.5,6276450,6129466,5543768,4687358,5659260,360549,
171.5,6255402,6107864,5568763,4655099,5646782,362001,
172.5,6226782,6082443,5589995,4624285,5630877,362159,
173.5,6190948,6053185,5606895,4594966,5611498,361041,
174.5,6148295,6020073,5618916,4567164,5588612,358664,
175.5,6099251,5983089,5625550,4540879,5562193,355045,
176.5,6044267,5942222,5626328,4516083,5532225,350200,
177.5,5983804,5897463,5620833,4492725,5498706,344146,
178.5,5918331,5848811,5608702,4470730,5461644,336897,
179.5,5848316,5796276,5589636,4450002,5421058,328469,
180.5,5774219,5739876,5563404,4430423,5376980,318880,
181.5,5696485,5679644,5529843,4411856,5329457,308151,
182.5,5615545,5615625,5488866,4394144,5278545,296310,
183.5,5531807,5547880,5440459,4377115,5224315,283389,
184.5,5445658,5476487,5384682,4360580,5166852,269433,
185.5,5357459,5401539,5321667,4344337,5106251,254496,
186.5,5267547,5323148,5251619,4328173,5042622,238642,
187.5,5176232,5241442,5174804,4311863,4976085,221952,
188.5,5083800,5156567,5091552,4295177,4906774,204518,
189.5,4990510,5068687,5002247,4277875,4834830,186448,
190.5,4896601,4977982,4907320,4259720,4760405,167869,
191.5,4802287,4884645,4807243,4240468,4683661,148929,
192.5,4707762,4788886,4702522,4219883,4604763,129807,
193.5,4613204,4690926,4593685,4197729,4523886,110729,
194.5,4518772,4590999,4481281,4173780,4441208,92004,
195.5,4424610,4489346,4365865,4147819,4356910,74118,
196.5,4330848,4386217,4247995,4119643,4271176,57947,
197.5,4237608,4281866,4128223,4089062,4184190,45254,
198.5,4144996,4176552,4007092,4055908,4096137,39159,
199.5,4053116,4070534,3885126,4020029,4007201,42018,
200.5,3962058,3964071,3762827,3981297,3917563,51759,
201.5,3871909,3857419,3640671,3939611,3827403,64770,
202.5,3782751,3750829,3519103,3894891,3736894,78895,
203.5,3694658,3644547,3398538,3847087,3646207,93114,
204.5,3607702,3538808,3279354,3796175,3555510,106921,
205.5,3521949,3433840,3161895,3742163,3464962,120037,
206.5,3437463,3329859,3046468,3685082,3374718,132295,
207.5,3354302,3227068,2933345,3624994,3284927,143590,
208.5,3272522,3125659,2822760,3561988,3195732,153856,
209.5,3192174,3025808,2714915,3496178,3107269,163053,
210.5,3113305,2927678,2609978,3427704,3019666,171165,
211.5,3035958,2831416,2508083,3356726,2933046,178190,
212.5,2960172,2737154,2409337,3283428,2847523,184140,
213.5,2885980,2645009,2313819,3208007,2763204,189042,
214.5,2813410,2555083,2221582,3130681,2680189,192930,
215.5,2742488,2467464,2132655,3051677,2598571,195849,
216.5,2673230,2382224,2047048,2971233,2518434,197852,
217.5,2605651,2299421,1964750,2889593,2439854,198997,
218.5,2539757,2219102,1885736,2807008,2362901,199348,
219.5,2475550,2141297,1809965,2723728,2287635,198971,
220.5,2413026,2066029,1737383,2640002,2214110,197937,
221.5,2352177,1993306,1667927,2556077,2142372,196318,
222.5,2292987,1923126,1601525,2472192,2072457,194186,
223.5,2235437,1855480,1538097,2388578,2004398,191613,
224.5,2179503,1790347,1477558,2305459,1938217,188670,
225.5,2125154,1727699,1419819,2223046,1873929,185426,
226.5,2072357,1667502,1364787,2141535,1811545,181947,
227.5,2021074,1609716,1312366,2061111,1751067,178295,
228.5,1971263,1554292,1262462,1981944,1692490,174528,
229.5,1922880,1501181,1214978,1904188,1635807,170700,
230.5,1875875,1450325,1169818,1827983,1581000,166858,
231.5,1830200,1401667,1126888,1753451,1528051,163045,
232.5,1785801,1355143,1086093,1680700,1476935,159298,
233.5,1742625,1310691,1047344,1609824,1427621,155646,
234.5,1700616,1268244,1010549,1540899,1380077,152115,
235.5,1659719,1227735,975623,1473990,1334267,148721,
236.5,1619877,1189096,942482,1409145,1290150,145478,
237.5,1581033,1152258,911044,1346403,1247685,142390,
238.5,1543134,1117153,881232,1285787,1206827,139460,
239.5,1506123,1083714,852970,1227311,1167530,136685,
240.5,1469948,1051871,826187,1170979,1129747,134055,
241.5,1434558,1021558,800814,1116785,1093429,131562,
242.5,1399901,992709,776785,1064712,1058527,129192,
243.5,1365932,965258,754037,1014740,1024992,126929,
244.5,1332606,939142,732510,966838,992774,124757,
245.5,1299879,914299,712148,920970,961824,122661,
246.5,1267715,890666,692896,877098,932094,120623,
247.5,1236076,868185,674703,835174,903534,118628,
248.5,1204930,846797,657520,795151,876099,116661,
249.5,1174248,826446,641301,756976,849743,114710,
250.5,1144006,807076,626000,720596,824420,112763,
251.5,1114180,788635,611578,685953,800086,110811,
252.5,1084752,771070,597992,652991,776701,108846,
253.5,1055707,754331,585206,621650,754224,106863,
254.5,1027034,738369,573184,591871,732614,104858,
255.5,998723,723137,561891,563595,711836,102831,
256.5,970770,708588,551295,536762,691854,100782,
257.5,943171,694680,541363,511315,672632,98713,
258.5,915927,681368,532067,487194,654139,96629,
259.5,889040,668611,523377,464343,636343,94535,
260.5,862514,656368,515266,442706,619214,92437,
261.5,836357,644601,507708,422228,602723,90344,
262.5,810576,633271,500676,402856,586844,88265,
263.5,785180,622343,494145,384537,571551,86209,
264.5,760182,611781,488090,367222,556819,84186,
265.5,735591,601551,482489,350861,542623,82208,
266.5,711419,591620,477317,335409,528942,80284,
267.5,687680,581958,472552,320819,515752,78426,
268.5,664384,572532,468169,307049,503034,76643,
269.5,641544,563315,464147,294056,490765,74945,
270.5,619171,554278,460461,281800,478928,73341,
271.5,597276,545395,457090,270244,467501,71838,
272.5,575869,536641,454008,259350,456467,70443,
273.5,554959,527992,451194,249084,445807,69160,
274.5,534554,519424,448621,239412,435503,67994,
275.5,514660,510917,446266,230303,425536,66944,
276.5,495283,502452,444102,221726,415891,66013,
277.5,476429,494009,442105,213653,406549,65196,
278.5,458098,485571,440247,206056,397493,64489,
279.5,440294,477124,438501,198910,388707,63889,
280.5,423016,468653,436837,192190,380174,63385,
281.5,406264,460146,435228,185874,371878,62971,
282.5,390034,451594,433644,179938,363802,62636,
283.5,374325,442985,432052,174363,355932,62369,
284.5,359131,434314,430423,169129,348249,62157,
285.5,344447,425575,428724,164218,340741,61989,
286.5,330266,416762,426923,159611,333390,61852,
287.5,316580,407875,424986,155292,326183,61733,
288.5,303382,398912,422881,151247,319105,61619,
289.5,290663,389873,420575,147459,312142,61496,
290.5,278412,380761,418034,143916,305281,61354,
291.5,266620,371580,415227,140604,298508,61178,
292.5,255276,362335,412121,137511,291811,60959,
293.5,244368,353032,408687,134626,285178,60684,
294.5,233887,343679,404895,131937,278599,60343,
295.5,223819,334284,400717,129434,272064,59926,
296.5,214154,324859,396130,127108,265563,59425,
297.5,204879,315413,391110,124949,259088,58832,
298.5,195983,305958,385638,122949,252632,58139,
299.5,187453,296507,379698,121099,246189,57340,
300.5,179278,287073,373277,119392,239755,56430,
301.5,171446,277669,366368,117820,233326,55406,
302.5,163946,268309,358967,116376,226899,54264,
303.5,156765,259007,351074,115054,220475,53004,
304.5,149892,249777,342695,113848,214053,51626,
305.5,143316,240634,333842,112750,207636,50131,
306.5,137027,231590,324530,111757,201226,48522,
307.5,131014,222660,314782,110862,194829,46803,
308.5,125265,213857,304623,110060,188451,44981,
309.5,119771,205193,294086,109346,182099,43062,
310.5,114523,196680,283206,108715,175781,41056,
311.5,109510,188330,272025,108162,169507,38973,
312.5,104722,180153,260587,107683,163286,36826,
313.5,100152,172160,248942,107273,157132,34626,
314.5,95789,164358,237140,106928,151054,32390,
315.5,91625,156756,225235,106645,145065,30133,
316.5,87653,149362,213283,106417,139179,27874,
317.5,83863,142180,201339,106243,133406,25632,
318.5,80248,135217,189460,106116,127760,23431,
319.5,76801,128476,177701,106035,122253,21296,
320.5,73514,121961,166117,105994,116896,19255,
321.5,70379,115674,154758,105989,111700,17344,
322.5,67391,109615,143675,106017,106675,15603,
323.5,64542,103787,132912,106074,101829,14078,
324.5,61826,98187,122510,106156,97170,12823,
325.5,59237,92816,112507,106258,92704,11888,
326.5,56770,87670,102933,106378,88438,11312,
327.5,54417,82748,93815,106510,84373,11103,
328.5,52174,78046,85174,106652,80511,11233,
329.5,50035,73560,77026,106799,76855,11643,
330.5,47996,69285,69380,106946,73402,12260,
331.5,46050,65218,62242,107091,70150,13014,
332.5,44195,61352,55610,107228,67096,13844,
333.5,42424,57682,49480,107354,64235,14707,
334.5,40733,54203,43841,107465,61561,15570,
335.5,39119,50907,38682,107557,59066,16410,
336.5,37578,47789,33985,107625,56744,17211,
337.5,36104,44841,29730,107666,54585,17963,
338.5,34695,42059,25895,107676,52581,18660,
339.5,33348,39434,22456,107650,50722,19298,
340.5,32058,36960,19389,107584,48998,19877,
341.5,30822,34630,16666,107475,47399,20395,
342.5,29638,32439,14263,107319,45915,20854,
343.5,28503,30379,12151,107112,44536,21257,
344.5,27413,28444,10305,106851,43253,21603,
345.5,26366,26627,8701,106532,42056,21897,
346.5,25359,24924,7313,106151,40936,22141,
347.5,24390,23326,6118,105705,39885,22336,
348.5,23458,21830,5095,105192,38894,22486,
349.5,22558,20430,4224,104609,37955,22592,
350.5,21691,19119,3486,103952,37062,22657,
351.5,20853,17893,2863,103220,36207,22682,
352.5,20043,16747,2341,102411,35386,22670,
353.5,19260,15676,1906,101522,34591,22622,
354.5,18501,14675,1544,100553,33818,22539,
355.5,17766,13741,1245,99501,33063,22424,
356.5,17052,12869,1000,98367,32322,22276,
357.5,16360,12055,799,97150,31591,22098,
358.5,15688,11296,635,95848,30867,21890,
359.5,15034,10587,503,94464,30147,21653,
360.5,14399,9927,397,92997,29430,21389,
361.5,13781,9311,311,91449,28713,21099,
362.5,13179,8737,243,89821,27995,20783,
363.5,12594,8202,189,88115,27275,20442,
364.5,12024,7703,146,86334,26552,20078,
365.5,11468,7237,113,84480,25825,19692,
366.5,10928,6804,86,82556,25093,19284,
367.5,10402,6400,66,80566,24358,18856,
368.5,9890,6023,50,78514,23619,18410,
369.5,9393,5672,38,76404,22877,17946,
370.5,8909,5344,29,74241,22131,17466,
371.5,8439,5039,22,72031,21383,16971,
372.5,7984,4754,16,69778,20633,16463,
373.5,7542,4489,12,67488,19883,15944,
374.5,7114,4241,9,65168,19133,15414,
375.5,6700,4010,7,62822,18385,14876,
376.5,6300,3795,5,60458,17639,14331,
377.5,5915,3594,4,58082,16898,13782,
378.5,5543,3406,3,55700,16163,13228,
379.5,5186,3230,2,53320,15435,12674,
380.5,4844,3067,1,50946,14714,12119,
381.5,4516,2914,0,48587,14004,11565,
382.5,4202,2771,0,46247,13305,11015,
383.5,3902,2637,0,43934,12619,10470,
384.5,3617,2512,0,41654,11946,9932,
385.5,3346,2396,0,39411,11288,9401,
386.5,3089,2287,0,37213,10647,8879,
387.5,2846,2184,0,35063,10023,8369,
388.5,2617,2089,0,32966,9418,7870,
389.5,2401,2000,0,30928,8832,7384,
390.5,2199,1916,0,28951,8266,6912,
391.5,2009,1838,0,27040,7722,6455,
392.5,1831,1764,0,25197,7198,6015,
393.5,1666,1696,0,23426,6697,5590,
394.5,1512,1631,0,21728,6218,5183,
395.5,1370,1571,0,20106,5762,4794,
396.5,1238,1515,0,18559,5328,4423,
397.5,1116,1462,0,17090,4917,4070,
398.5,1005,1413,0,15698,4529,3735,
399.5,902,1366,0,14383,4163,3419,
400.5,808,1323,0,13145,3819,3121,
401.5,723,1282,0,11983,3497,2841,
402.5,645,1244,0,10895,3196,2579,
403.5,574,1209,0,9879,2916,2334,
404.5,510,1176,0,8935,2655,2107,
405.5,452,1145,0,8059,2414,1896,
406.5,400,1116,0,7249,2191,1702,
407.5,353,1089,0,6503,1986,1523,
408.5,312,1064,0,5817,1798,1358,
409.5,274,1040,0,5190,1626,1208,
410.5,241,1018,0,4616,1469,1071,
411.5,211,998,0,4095,1326,948,
412.5,185,980,0,3622,1197,836,
413.5,161,962,0,3194,1079,736,
414.5,141,946,0,2809,974,646,
415.5,122,932,0,2463,879,567,
416.5,106,918,0,2153,794,497,
417.5,92,906,0,1876,719,436,
418.5,80,895,0,1630,651,384,
419.5,69,885,0,1412,592,339,
420.5,60,876,0,1220,539,302,
421.5,52,868,0,1050,493,272,
422.5,45,862,0,902,452,248,
423.5,39,856,0,772,416,230,
424.5,33,851,0,658,386,217,
425.5,29,847,0,560,359,207,
426.5,25,844,0,474,336,201,
427.5,21,841,0,401,316,198,
428.5,18,840,0,338,299,196,
429.5,16,840,0,284,285,196,
430.5,13,840,0,237,273,197,
431.5,11,841,0,198,263,198,
432.5,10,843,0,165,254,200,
433.5,8,846,0,136,248,202,
434.5,7,849,0,113,242,204,
435.5,6,854,0,93,238,206,
436.5,5,859,0,76,235,209,
437.5,5,865,0,62,233,211,
438.5,4,872,0,51,232,214,
439.5,3,879,0,41,231,216,
440.5,3,888,0,33,231,219,
441.5,2,897,0,27,232,222,
442.5,2,907,0,22,233,225,
443.5,2,918,0,17,234,228,
444.5,2,930,0,14,236,231,
445.5,1,943,0,11,239,235,
446.5,1,956,0,9,242,238,
447.5,1,971,0,7,245,242,
448.5,0,986,0,6,248,246,
449.5,0,1002,0,4,252,250,
450.5,0,1019,0,3,256,254,
451.5,0,1037,0,3,260,259,
452.5,0,1056,0,2,265,264,
453.5,0,1077,0,2,270,269,
454.5,0,1098,0,1,275,274,
455.5,0,1120,0,0,280,280,
456.5,0,1143,0,0,286,286,
457.5,0,1167,0,0,292,292,
458.5,0,1192,0,0,298,298,
459.5,0,1219,0,0,305,305,
460.5,0,1246,0,0,312,312,
461.5,0,1275,0,0,319,319,
462.5,0,1305,0,0,326,326,
463.5,0,1336,0,0,334,334,
464.5,0,1368,0,0,342,342,
465.5,0,1401,0,0,350,350,
466.5,0,1436,0,0,359,359,
467.5,0,1472,0,0,368,368,
468.5,0,1509,0,0,377,377,
469.5,0,1547,0,0,387,387,
470.5,0,1587,0,0,397,397,
471.5,0,1628,0,0,407,407,
472.5,0,1671,0,0,418,418,
473.5,0,1714,0,0,429,429,
474.5,0,1759,0,0,440,440,
475.5,0,1806,0,0,451,451,
476.5,0,1854,0,0,463,463,
477.5,0,1903,0,0,476,476,
478.5,0,1953,0,0,488,488,
479.5,0,2005,0,0,501,501,
480.5,0,2059,0,0,515,515,
481.5,0,2113,0,0,528,528,
482.5,0,2169,0,0,542,542,
483.5,0,2226,0,0,557,557,
484.5,0,2285,0,0,571,571,
485.5,0,2345,0,0,586,586,
486.5,0,2406,0,0,601,601,
487.5,0,2468,0,0,617,617,
488.5,0,2532,0,0,633,633,
489.5,0,2596,0,0,649,649,
