NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,AD_72h_A_LS 2020-10-27 12-25-10.nano,
Operator Name,jenH,
Time Captured,12:25:10  27/10/2020,
Sample Description,AD_72h_A_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,AD_72h_A_LS 2020-10-27 12-25-40,AD_72h_A_LS 2020-10-27 12-26-49,AD_72h_A_LS 2020-10-27 12-27-58,AD_72h_A_LS 2020-10-27 12-29-07,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,23.311,23.343,23.398,23.395,
Viscosity/cP,0.923979,0.923290,0.922107,0.922172,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,4,4,4,4,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,21.5854,14.9663,17.5971,17.7772,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),5.87e+08,5.36e+08,5.44e+08,5.55e+08,5.56e+08,1.11e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,43.4,40.1,40.7,40.3,41.1,0.8,
Centres per frame,47.2,45.8,45.2,45.6,46.0,0.4,
Completed tracks,8531,7778,8184,8479,,,
X-Drift (pix/frame),-10.1,-10.7,-11.1,-11.7,,,
Y-Drift (pix/frame),-0.8,-0.4,0.3,0.1,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,No,No,No,No,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,
Noise level,No,No,No,No,
Vibration detected,High vibration,Moderate vibration,Moderate vibration,Moderate vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,AD_72h_A_LS 2020-10-27 12-25-40,AD_72h_A_LS 2020-10-27 12-26-49,AD_72h_A_LS 2020-10-27 12-27-58,AD_72h_A_LS 2020-10-27 12-29-07,Average,Standard Error,
Mean,188.3,188.7,189.0,180.3,186.6,2.1,
Mode,204.0,183.4,178.0,181.6,186.7,5.9,
SD,48.8,38.9,50.7,44.3,45.6,2.6,
D10,128.4,148.1,135.3,130.3,135.6,4.4,
D50,195.1,188.0,186.2,181.8,187.8,2.8,
D90,240.9,234.4,251.2,226.8,238.3,5.2,
Valid Tracks,1866.0,1913.0,1942.0,1987.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,
10.5,5,0,0,0,1,1,
11.5,51,0,0,0,13,13,
12.5,336,0,0,0,84,84,
13.5,1554,0,0,0,389,388,
14.5,5365,0,5,0,1342,1341,
15.5,14600,0,46,0,3662,3646,
16.5,32693,0,289,0,8246,8150,
17.5,62326,4,1256,0,15896,15479,
18.5,103980,21,4017,0,27005,25676,
19.5,155291,85,9943,0,41330,38059,
20.5,211578,256,19890,0,57931,51427,
21.5,267229,588,33397,0,75304,64449,
22.5,317219,1068,48638,0,91731,76013,
23.5,358140,1588,63212,0,105735,85412,
24.5,388533,1993,75126,0,116413,92375,
25.5,408637,2178,83372,0,123547,96990,
26.5,419839,2137,87929,0,127476,99583,
27.5,424104,1940,89436,0,128870,100597,
28.5,423518,1678,88798,0,128499,100502,
29.5,420016,1424,86911,2,127088,99734,
30.5,415258,1219,84512,6,125249,98672,
31.5,410608,1081,82149,19,123464,97628,
32.5,407167,1013,80202,52,122108,96857,
33.5,405829,1021,78923,130,121476,96567,
34.5,407332,1118,78485,302,121809,96924,
35.5,412287,1337,79014,657,123324,98061,
36.5,421192,1741,80618,1344,126224,100074,
37.5,434416,2446,83410,2602,130718,103012,
38.5,452158,3658,87516,4789,137030,106862,
39.5,474371,5722,93084,8417,145398,111517,
40.5,500669,9180,100289,14179,156080,116751,
41.5,530225,14805,109334,22965,169332,122183,
42.5,561681,23549,120440,35857,185382,127268,
43.5,593129,36324,133839,54090,204345,131318,
44.5,622181,53589,149755,78976,226125,133577,
45.5,646183,74835,168383,111782,250296,133357,
46.5,662549,98264,189855,153563,276058,130199,
47.5,669171,120963,214207,204979,302330,124066,
48.5,664804,139660,241342,266099,327976,115560,
49.5,649310,151773,270997,336247,352082,106181,
50.5,623702,156208,302722,413911,374136,98513,
51.5,589939,153534,335874,496753,394025,95809,
52.5,550581,145536,369638,581727,411870,100337,
53.5,508357,134493,403062,665307,427805,111632,
54.5,465801,122536,435128,743798,441816,127067,
55.5,424991,111290,464825,813673,453695,143693,
56.5,387436,101807,491235,871910,463097,159210,
57.5,354081,94670,513602,916251,469651,172083,
58.5,325389,90172,531393,945375,473082,181405,
59.5,301464,88487,544325,958951,473307,186751,
60.5,282169,89800,552369,957578,470479,188049,
61.5,267228,94404,555726,942644,465000,185479,
62.5,256303,102773,554790,916117,457496,179375,
63.5,249045,115610,550088,880321,448766,170144,
64.5,245118,133869,542233,837711,439733,158198,
65.5,244216,158751,531869,790686,431380,143920,
66.5,246058,191636,519627,741441,424691,127661,
67.5,250389,233927,506096,691872,420571,109817,
68.5,256964,286775,491803,643527,419767,91035,
69.5,265544,350690,477198,597600,422758,72711,
70.5,275882,425060,462657,554949,429637,58062,
71.5,287717,507700,448481,516139,440009,52949,
72.5,300772,594598,434906,481495,452943,60802,
73.5,314754,680016,422110,451151,467008,76823,
74.5,329355,757077,410223,425105,480440,94581,
75.5,344262,818785,399337,403261,491411,109953,
76.5,359164,859257,389514,385469,498351,120490,
77.5,373767,874838,380795,371550,500237,124882,
78.5,387801,864756,373202,361319,496769,122782,
79.5,401035,831139,366746,354599,488380,114675,
80.5,413285,778427,361430,351226,476092,101690,
81.5,424417,712393,357251,351056,461279,85337,
