NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,BS_24h_A_LS 2020-09-24 14-34-08.nano,
Operator Name,Eddie,
Time Captured,14:34:08  24/09/2020,
Sample Description,BS_24h_A_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,BS_24h_A_LS 2020-09-24 14-34-37,BS_24h_A_LS 2020-09-24 14-35-46,BS_24h_A_LS 2020-09-24 14-36-55,BS_24h_A_LS 2020-09-24 14-38-04,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,25.613,25.607,25.620,25.658,
Viscosity/cP,0.876416,0.876535,0.876278,0.875526,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,7,7,7,7,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,12.5451,14.7625,14.7507,14.6626,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),8.31e+08,7.64e+08,7.93e+08,7.72e+08,7.90e+08,1.49e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,44.8,41.9,40.7,40.3,41.9,1.0,
Centres per frame,50.9,47.4,45.8,45.8,47.5,1.2,
Completed tracks,8317,8051,7845,7885,,,
X-Drift (pix/frame),-8.9,-9.8,-10.4,-10.3,,,
Y-Drift (pix/frame),-0.6,0.1,0.2,0.1,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,No,No,No,No,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,
Noise level,No,No,No,No,
Vibration detected,Moderate vibration,Minor vibration,Minor vibration,No,
Vibration correction applied,Yes,Yes,Yes,No,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,BS_24h_A_LS 2020-09-24 14-34-37,BS_24h_A_LS 2020-09-24 14-35-46,BS_24h_A_LS 2020-09-24 14-36-55,BS_24h_A_LS 2020-09-24 14-38-04,Average,Standard Error,
Mean,180.4,175.7,168.9,168.9,173.5,2.8,
Mode,163.3,162.9,156.2,153.2,158.9,2.5,
SD,44.9,43.0,38.9,40.4,41.8,1.3,
D10,138.9,129.2,125.8,127.6,130.4,2.9,
D50,172.6,170.4,164.1,162.8,167.5,2.4,
D90,232.5,231.7,217.1,216.5,224.5,4.4,
Valid Tracks,2182.0,2143.0,2154.0,2141.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,
23.5,0,2,0,0,0,0,
24.5,0,11,0,0,3,3,
25.5,0,45,0,4,12,11,
26.5,0,153,0,26,45,37,
27.5,0,454,0,114,142,107,
28.5,0,1192,0,395,397,281,
29.5,0,2800,0,1094,974,661,
30.5,0,5939,1,2484,2106,1405,
31.5,0,11479,4,4757,4060,2715,
32.5,0,20388,15,7876,7070,4811,
33.5,0,33524,47,11542,11278,7897,
34.5,0,51393,131,15303,16707,12107,
35.5,0,73925,326,18739,23248,17451,
36.5,0,100376,736,21591,30676,23766,
37.5,0,129368,1512,23807,38672,30718,
38.5,0,159086,2855,25501,46861,37841,
39.5,0,187560,4987,26879,54857,44618,
40.5,0,212967,8116,28181,62316,50565,
41.5,0,233870,12388,29642,68975,55300,
42.5,0,249368,17847,31484,74675,58587,
43.5,2,259124,24413,33917,79364,60344,
44.5,6,263308,31880,37152,83086,60632,
45.5,13,262479,39947,41415,85963,59615,
46.5,26,257442,48258,46950,88169,57529,
47.5,51,249116,56449,54030,89911,54642,
48.5,94,238422,64190,62940,91412,51237,
49.5,164,226202,71219,73968,92888,47608,
50.5,272,213182,77354,87360,94542,44073,
51.5,432,199943,82496,103281,96538,40999,
52.5,658,186929,86626,121753,98991,38809,
53.5,966,174457,89785,142593,101950,37920,
54.5,1369,162738,92063,165369,105385,38605,
55.5,1880,151896,93579,189382,109184,40839,
56.5,2511,141992,94470,213684,113164,44280,
57.5,3271,133038,94877,237154,117085,48406,
58.5,4167,125013,94938,258613,120683,52664,
59.5,5206,117878,94782,276962,123707,56569,
60.5,6396,111581,94529,291314,125955,59744,
61.5,7745,106064,94282,301105,127299,61943,
62.5,9266,101270,94135,306146,127705,63044,
63.5,10975,97144,94170,306615,127226,63043,
64.5,12893,93635,94459,303006,125998,62026,
65.5,15048,90698,95065,296034,124211,60147,
66.5,17477,88295,96048,286536,122089,57595,
67.5,20223,86394,97461,275375,119863,54570,
68.5,23337,84969,99359,263359,117756,51258,
69.5,26880,84002,101793,251193,115967,47824,
70.5,30924,83481,104819,239458,114670,44399,
71.5,35546,83401,108493,228600,114010,41084,
72.5,40834,83763,112876,218947,114105,37950,
73.5,46882,84575,118034,210728,115055,35046,
74.5,53789,85851,124040,204092,116943,32404,
75.5,61656,87613,130971,199134,119843,30049,
76.5,70582,89888,138915,195915,123825,28005,
77.5,80661,92714,147963,194477,128954,26300,
78.5,91972,96134,158217,194856,135295,24972,
79.5,104578,100202,169788,197096,142916,24069,
80.5,118517,104979,182791,201247,151883,23638,
81.5,133795,110539,197352,207376,162266,23721,
82.5,150382,116966,213605,215568,174130,24336,
83.5,168210,124356,231689,225924,187545,25476,
84.5,187169,132821,251752,238560,202575,27105,
85.5,207113,142484,273947,253606,219288,29172,
86.5,227861,153487,298433,271202,237746,31622,
87.5,249208,165987,325376,291490,258015,34405,
88.5,270934,180160,354943,314616,280163,37489,
89.5,292815,196202,387310,340717,304261,40859,
90.5,314639,214327,422652,369920,330384,44529,
91.5,336217,234770,461149,402332,358617,48531,
92.5,357394,257788,502985,438042,389052,52925,
93.5,378058,283656,548344,477111,421792,57785,
94.5,398148,312670,597416,519575,456952,63197,
95.5,417654,345144,650389,565442,494657,69250,
96.5,436624,381407,707456,614695,535046,76027,
97.5,455154,421802,768812,667298,578267,83602,
98.5,473391,466680,834652,723202,624481,92036,
99.5,491525,516397,905174,782348,673861,101373,
100.5,509784,571309,980578,844685,726589,111644,
101.5,528430,631763,1061063,910171,782857,122872,
102.5,547752,698093,1146830,978790,842866,135068,
103.5,568061,770612,1238077,1050555,906827,148240,
104.5,589693,849603,1335003,1125523,974955,162390,
105.5,612999,935310,1437799,1203796,1047476,177515,
106.5,638350,1027934,1546653,1285530,1124617,193608,
107.5,666137,1127625,1661744,1370937,1206611,210654,
108.5,696768,1234471,1783240,1460289,1293692,228626,
