NTA Experiment Summary File,
64.5,7798,41248,0,7429,14119,9220,
65.5,7111,45472,0,10636,15805,10133,
66.5,7417,50038,0,14868,18081,11076,
67.5,8775,54883,0,20306,20991,12038,
68.5,11623,59923,0,27111,24664,12999,
69.5,16963,65057,0,35395,29354,13924,
70.5,26784,70166,0,45209,35539,14810,
71.5,44867,75120,0,56507,44124,15973,
72.5,78157,79784,0,69137,56770,19067,
73.5,138792,84022,0,82826,76410,28620,
74.5,246525,87707,0,97175,107852,51139,
75.5,430272,90727,0,111677,158169,93883,
76.5,726124,92989,0,125741,236213,165461,
77.5,1168119,94429,0,138729,350319,274130,
78.5,1769686,95010,0,150006,503676,423139,
79.5,2499832,94725,0,158995,688388,604697,
80.5,3267168,93596,0,165223,881497,795943,
81.5,3929030,91674,0,168366,1047268,961204,
82.5,4333169,89032,0,168281,1147621,1062406,
83.5,4377206,85760,0,165014,1156995,1073932,
84.5,4053099,81961,2,158792,1073464,993741,
85.5,3449122,77746,4,150003,919219,843857,
86.5,2709134,73226,9,139150,730380,660196,
87.5,1975529,68510,20,126810,542717,478306,
88.5,1347030,63697,43,113578,381087,322818,
89.5,865989,58880,91,100029,256247,204279,
90.5,529773,54137,186,86672,167692,122004,
91.5,311466,49532,369,73929,108824,69258,
92.5,177821,45120,706,62118,71441,37749,
93.5,99637,40938,1303,51452,48333,20224,
94.5,55380,37015,2308,42043,34186,11310,
95.5,30854,33366,3916,33922,25515,7230,
96.5,17404,30000,6356,27050,20203,5342,
97.5,10035,26916,9857,21338,17037,4249,
98.5,5965,24108,14597,16670,15335,3731,
99.5,3685,21566,20638,12912,14700,4153,
100.5,2381,19274,27872,9928,14864,5544,
101.5,1619,17217,35984,7587,15602,7515,
102.5,1163,15378,44468,5772,16695,9719,
103.5,887,13738,52688,4376,17922,11902,
104.5,718,12279,59979,3313,19072,13859,
105.5,618,10984,65757,2507,19967,15429,
106.5,566,9836,69618,1901,20480,16506,
107.5,551,8819,71389,1446,20551,17047,
108.5,569,7920,71133,1105,20182,17066,
109.5,621,7125,69107,851,19426,16629,
110.5,715,6421,65697,661,18373,15832,
111.5,863,5799,61337,518,17129,14785,
112.5,1090,5248,56451,412,15800,13592,
113.5,1431,4760,51406,332,14482,12344,
114.5,1944,4328,46487,272,13258,11108,
115.5,2721,3945,41895,226,12197,9930,
116.5,3903,3604,37755,192,11363,8837,
117.5,5705,3300,34129,166,10825,7850,
118.5,8461,3030,31036,147,10669,7004,
119.5,12667,2789,28464,134,11013,6411,
120.5,19056,2574,26386,124,12035,6368,
121.5,28680,2381,24767,118,13986,7411,
122.5,43001,2208,23572,115,17224,10095,
123.5,63983,2053,22770,115,22230,14832,
124.5,94128,1913,22337,117,29624,22084,
125.5,136450,1787,22257,123,40154,32491,
126.5,194297,1674,22519,132,54656,46826,
127.5,270984,1571,23124,145,73956,65886,
128.5,369202,1479,24077,164,98730,90324,
129.5,490213,1395,25390,188,129296,120446,
130.5,632948,1319,27079,220,165391,155976,
131.5,793171,1250,29164,262,205962,195851,
132.5,962995,1187,31664,318,249041,238096,
133.5,1131012,1131,34596,390,291782,279857,
134.5,1283222,1079,37971,486,330690,317632,
135.5,1404777,1033,41789,611,362052,347709,
136.5,1482284,990,46038,776,382522,366742,
137.5,1506213,952,50685,991,389710,372352,
138.5,1472800,918,55680,1272,382667,363605,
139.5,1384940,887,60948,1639,362103,341236,
140.5,1251777,859,66392,2113,330285,307545,
141.5,1087073,834,71895,2724,290631,265995,
142.5,906772,812,77322,3505,247103,220603,
143.5,726372,792,82531,4495,203547,175291,
144.5,558718,775,87375,5738,163152,133342,
145.5,412656,760,91717,7281,128104,97086,
146.5,292663,748,95435,9176,99505,67847,
147.5,199335,737,98430,11474,77494,46128,
148.5,130412,729,100637,14224,61500,31896,
149.5,81974,722,102019,17472,50547,24518,
150.5,49523,718,102577,21252,43517,22083,
151.5,28764,715,102345,25590,39353,21913,
152.5,16069,715,101381,30494,37165,22252,
153.5,8638,716,99769,35957,36270,22472,
154.5,4471,719,97606,41953,36187,22490,
155.5,2229,724,94998,48436,36597,22396,
156.5,1071,730,92052,55346,37300,22311,
157.5,496,739,88872,62604,38178,22338,
158.5,222,750,85555,70122,39162,22551,
159.5,96,763,82185,77805,40212,22986,
160.5,40,777,78836,85555,41302,23650,
161.5,16,794,75568,93276,42413,24522,
162.5,6,814,72427,100879,43531,25565,
163.5,2,835,69448,108285,44643,26736,
164.5,0,859,66656,115427,45736,27988,
165.5,0,886,64066,122253,46801,29282,
166.5,0,916,61685,128723,47831,30584,
167.5,0,948,59514,134814,48819,31865,
168.5,0,984,57548,140513,49761,33106,
169.5,0,1023,55780,145820,50656,34293,
170.5,0,1066,54198,150743,51502,35417,
171.5,0,1113,52787,155295,52299,36473,
172.5,0,1163,51533,159495,53048,37460,
173.5,0,1219,50419,163360,53749,38378,
174.5,0,1279,49427,166910,54404,39226,
175.5,0,1345,48540,170159,55011,40008,
176.5,0,1416,47738,173119,55568,40722,
177.5,0,1494,47005,175793,56073,41370,
178.5,0,1578,46321,178180,56520,41951,
179.5,0,1670,45670,180271,56903,42460,
180.5,0,1770,45034,182047,57213,42894,
181.5,0,1878,44398,183485,57440,43247,
182.5,0,1996,43747,184551,57574,43510,
183.5,0,2125,43069,185207,57600,43675,
184.5,0,2265,42352,185408,57506,43729,
185.5,0,2418,41587,185107,57278,43662,
186.5,0,2585,40769,184254,56902,43462,
187.5,0,2766,39892,182799,56364,43115,
188.5,0,2964,38955,180696,55654,42611,
189.5,0,3180,37959,177906,54761,41939,
190.5,0,3415,36906,174395,53679,41091,
191.5,0,3672,35801,170145,52405,40062,
192.5,0,3952,34653,165148,50938,38850,
193.5,0,4258,33469,159416,49286,37456,
194.5,0,4591,32258,152976,47456,35887,
195.5,0,4954,31032,145875,45465,34155,
196.5,0,5350,29802,138179,43333,32274,
197.5,0,5782,28577,129971,41083,30265,
198.5,0,6252,27370,121350,38743,28151,
199.5,0,6764,26189,112429,36345,25961,
200.5,0,7320,25044,103327,33923,23724,
201.5,0,7925,23944,94171,31510,21472,
202.5,0,8581,22895,85088,29141,19237,
203.5,0,9293,21904,76198,26849,17051,
204.5,0,10064,20975,67615,24663,14944,
205.5,0,10897,20112,59438,22612,12945,
206.5,0,11797,19319,51752,20717,11083,
207.5,0,12766,18597,44622,18996,9383,
208.5,0,13809,17948,38095,17463,7875,
209.5,0,14929,17373,32197,16125,6591,
210.5,0,16128,16873,26938,14985,5570,
211.5,0,17410,16448,22307,14041,4853,
212.5,0,18777,16099,18283,13290,4468,
213.5,0,20230,15826,14831,12721,4400,
214.5,0,21770,15629,11905,12326,4584,
215.5,0,23398,15511,9458,12092,4939,
216.5,0,25114,15471,7436,12005,5392,
217.5,0,26916,15512,5786,12054,5898,
218.5,0,28801,15638,4456,12224,6430,
219.5,0,30767,15850,3397,12503,6976,
220.5,0,32808,16154,2563,12881,7529,
221.5,0,34918,16555,1915,13347,8085,
222.5,0,37092,17058,1416,13891,8645,
223.5,0,39319,17670,1037,14506,9208,
224.5,0,41590,18401,752,15186,9774,
225.5,0,43894,19260,540,15923,10343,
226.5,0,46219,20256,384,16715,10913,
227.5,0,48551,21402,271,17556,11484,
228.5,0,50875,22712,189,18444,12053,
229.5,0,53177,24198,131,19376,12621,
230.5,0,55439,25876,90,20351,13186,
231.5,0,57644,27761,61,21367,13746,
232.5,0,59775,29870,41,22422,14302,
233.5,0,61816,32219,28,23515,14853,
234.5,0,63747,34823,18,24647,15401,
235.5,0,65552,37696,12,25815,15949,
236.5,0,67215,40852,8,27019,16499,
237.5,0,68719,44299,5,28256,17057,
238.5,0,70051,48043,3,29524,17627,
239.5,0,71197,52085,2,30821,18217,
240.5,0,72145,56419,1,32141,18832,
241.5,0,72885,61030,0,33479,19480,
242.5,0,73410,65897,0,34827,20166,
243.5,0,73714,70984,0,36175,20893,
244.5,0,73792,76248,0,37510,21662,
245.5,0,73645,81632,0,38819,22471,
246.5,0,73272,87066,0,40085,23313,
247.5,0,72677,92469,0,41287,24177,
248.5,0,71866,97747,0,42403,25045,
249.5,0,70845,102798,0,43411,25898,
250.5,0,69625,107512,0,44284,26712,
251.5,0,68217,111773,0,44997,27459,
252.5,0,66633,115467,0,45525,28111,
253.5,0,64888,118481,0,45842,28639,
254.5,0,62998,120713,0,45928,29016,
255.5,0,60978,122074,0,45763,29217,
256.5,0,58847,122491,0,45334,29221,
257.5,0,56621,121916,0,44634,29012,
258.5,0,54318,120327,0,43661,28583,
259.5,0,51957,117729,0,42421,27930,
260.5,0,49553,114157,0,40927,27060,
261.5,0,47124,109674,0,39200,25985,
262.5,0,44686,104373,0,37265,24725,
263.5,0,42254,98368,0,35155,23306,
264.5,0,39843,91791,0,32909,21759,
265.5,0,37465,84791,0,30564,20117,
266.5,0,35132,77519,0,28163,18419,
267.5,0,32855,70131,0,25746,16699,
268.5,0,30643,62774,0,23354,14994,
269.5,0,28504,55583,0,21022,13336,
270.5,0,26446,48680,0,18781,11755,
271.5,0,24472,42164,0,16659,10274,
272.5,0,22589,36113,0,14676,8911,
273.5,0,20798,30583,0,12845,7680,
274.5,0,19101,25605,0,11177,6588,
275.5,0,17501,21192,0,9673,5635,
276.5,0,15995,17338,0,8333,4819,
277.5,0,14585,14021,0,7151,4131,
278.5,0,13268,11206,0,6119,3558,
279.5,0,12043,8851,0,5224,3085,
280.5,0,10906,6909,0,4454,2698,
281.5,0,9854,5330,0,3796,2378,
282.5,0,8885,4063,0,3237,2112,
283.5,0,7993,3061,0,2764,1887,
284.5,0,7176,2278,0,2364,1692,
285.5,0,6430,1676,0,2026,1520,
286.5,0,5749,1218,0,1742,1366,
287.5,0,5130,875,0,1501,1227,
288.5,0,4569,621,0,1297,1100,
289.5,0,4061,435,0,1124,984,
290.5,0,3603,302,0,976,879,
291.5,0,3191,207,0,849,782,
292.5,0,2821,140,0,740,694,
293.5,0,2489,93,0,646,615,
294.5,0,2193,62,0,564,543,
295.5,0,1928,40,0,492,479,
296.5,0,1693,26,0,430,421,
297.5,0,1484,17,0,375,370,
298.5,0,1299,10,0,327,324,
299.5,0,1135,7,0,285,283,
300.5,0,990,4,0,248,247,
301.5,0,862,2,0,216,215,
302.5,0,750,1,0,188,187,
303.5,0,652,0,0,163,163,
304.5,0,565,0,0,141,141,
305.5,0,489,0,0,122,122,
306.5,0,423,0,0,106,106,
307.5,0,366,0,0,91,91,
308.5,0,316,0,0,79,79,
309.5,0,272,0,0,68,68,
310.5,0,234,0,0,59,59,
311.5,0,201,0,0,50,50,
312.5,0,173,0,0,43,43,
313.5,0,148,0,0,37,37,
314.5,0,127,0,0,32,32,
315.5,0,109,0,0,27,27,
316.5,0,93,0,0,23,23,
317.5,0,79,0,0,20,20,
318.5,0,68,0,0,17,17,
319.5,0,58,0,0,14,14,
320.5,0,49,0,0,12,12,
321.5,0,42,0,0,10,10,
322.5,0,36,0,0,9,9,
323.5,0,30,0,0,8,8,
324.5,0,26,0,0,6,6,
325.5,0,22,0,0,5,5,
326.5,0,18,0,0,5,5,
327.5,0,16,0,0,4,4,
328.5,0,13,0,0,3,3,
329.5,0,11,0,0,3,3,
330.5,0,9,0,0,2,2,
331.5,0,8,0,0,2,2,
332.5,0,7,0,0,2,2,
333.5,0,6,0,0,1,1,
334.5,0,5,0,0,1,1,
335.5,0,4,0,0,1,1,
336.5,0,3,0,0,0,0,
337.5,0,3,0,0,0,0,
338.5,0,2,0,0,0,0,
339.5,0,2,0,0,0,0,
340.5,0,2,0,0,0,0,
341.5,0,1,0,0,0,0,
342.5,0,1,0,0,0,0,
343.5,0,1,0,0,0,0,
344.5,0,0,0,0,0,0,
345.5,0,0,0,0,0,0,
346.5,0,0,0,0,0,0,
347.5,0,0,0,0,0,0,
348.5,0,0,0,0,0,0,
349.5,0,0,0,0,0,0,
350.5,0,0,0,0,0,0,
351.5,0,0,0,0,0,0,
352.5,0,0,0,0,0,0,
353.5,0,0,0,0,0,0,
354.5,0,0,0,0,0,0,
355.5,0,0,0,0,0,0,
356.5,0,0,0,0,0,0,
357.5,0,0,0,0,0,0,
358.5,0,0,0,0,0,0,
359.5,0,0,0,0,0,0,
360.5,0,0,0,0,0,0,
361.5,0,0,0,0,0,0,
362.5,0,0,0,0,0,0,
363.5,0,0,0,0,0,0,
364.5,0,0,0,0,0,0,
365.5,0,0,0,0,0,0,
366.5,0,0,0,0,0,0,
367.5,0,0,0,0,0,0,
368.5,0,0,0,0,0,0,
369.5,0,0,0,0,0,0,
370.5,0,0,0,0,0,0,
371.5,0,0,0,0,0,0,
372.5,0,0,0,0,0,0,
373.5,0,0,0,0,0,0,
374.5,0,0,0,0,0,0,
375.5,0,0,0,0,0,0,
376.5,0,0,0,0,0,0,
377.5,0,0,0,0,0,0,
378.5,0,0,0,0,0,0,
379.5,0,0,0,0,0,0,
380.5,0,0,0,0,0,0,
381.5,0,0,0,0,0,0,
382.5,0,0,0,0,0,0,
383.5,0,0,0,0,0,0,
384.5,0,0,0,0,0,0,
385.5,0,0,0,0,0,0,
386.5,0,0,0,0,0,0,
387.5,0,0,0,0,0,0,
388.5,0,0,0,0,0,0,
389.5,0,0,0,0,0,0,
390.5,0,0,0,0,0,0,
391.5,0,0,0,0,0,0,
392.5,0,0,0,0,0,0,
393.5,0,0,0,0,0,0,
394.5,0,0,0,0,0,0,
395.5,0,0,0,0,0,0,
396.5,0,0,0,0,0,0,
397.5,0,0,0,0,0,0,
398.5,0,0,0,0,0,0,
399.5,0,0,0,0,0,0,
400.5,0,0,0,0,0,0,
401.5,0,0,0,0,0,0,
402.5,0,0,0,0,0,0,
403.5,0,0,0,0,0,0,
404.5,0,0,0,0,0,0,
405.5,0,0,0,0,0,0,
406.5,0,0,0,0,0,0,
407.5,0,0,0,0,0,0,
408.5,0,0,0,0,0,0,
409.5,0,0,0,0,0,0,
410.5,0,0,0,0,0,0,
411.5,0,0,0,0,0,0,
412.5,0,0,0,0,0,0,
413.5,0,0,0,0,0,0,
414.5,0,0,0,0,0,0,
415.5,0,0,0,0,0,0,
416.5,0,1,0,0,0,0,
417.5,0,1,0,0,0,0,
418.5,0,2,0,0,0,0,
419.5,0,2,0,0,0,0,
420.5,0,2,0,0,0,0,
421.5,0,3,0,0,0,0,
422.5,0,3,0,0,0,0,
423.5,0,4,0,0,0,0,
424.5,0,4,0,0,1,1,
425.5,0,5,0,0,1,1,
426.5,0,6,0,0,2,2,
427.5,0,7,0,0,2,2,
428.5,0,8,0,0,2,2,
429.5,0,10,0,0,2,2,
430.5,0,11,0,0,3,3,
431.5,0,13,0,0,3,3,
432.5,0,15,0,0,4,4,
433.5,0,18,0,0,4,4,
434.5,0,21,0,0,5,5,
435.5,0,24,0,0,6,6,
436.5,0,28,0,0,7,7,
437.5,0,32,0,0,8,8,
438.5,0,37,0,0,9,9,
439.5,0,43,0,0,11,11,
440.5,0,49,0,0,12,12,
441.5,0,57,0,0,14,14,
442.5,0,65,0,0,16,16,
443.5,0,74,0,0,19,19,
444.5,0,85,0,0,21,21,
445.5,0,97,0,0,24,24,
446.5,0,111,0,0,28,28,
447.5,0,126,0,0,31,31,
448.5,0,143,0,0,36,36,
449.5,0,162,0,0,40,40,
450.5,0,183,0,0,46,46,
451.5,0,207,0,0,52,52,
452.5,0,234,0,0,58,58,
453.5,0,263,0,0,66,66,
454.5,0,296,0,0,74,74,
455.5,0,332,0,0,83,83,
456.5,0,372,0,0,93,93,
457.5,0,416,0,0,104,104,
458.5,0,464,0,0,116,116,
459.5,0,518,0,0,129,129,
460.5,0,576,0,0,144,144,
461.5,0,640,0,0,160,160,
462.5,0,710,0,0,178,178,
463.5,0,787,0,0,197,197,
464.5,0,870,0,0,217,217,
465.5,0,960,0,0,240,240,
466.5,0,1058,0,0,264,264,
467.5,0,1164,0,0,291,291,
468.5,0,1278,0,0,320,320,
469.5,0,1401,0,0,350,350,
470.5,0,1534,0,0,384,384,
471.5,0,1677,0,0,419,419,
472.5,0,1830,0,0,457,457,
473.5,0,1993,0,0,498,498,
474.5,0,2168,0,0,542,542,
475.5,0,2354,0,0,588,588,
476.5,0,2552,0,0,638,638,
477.5,0,2762,0,0,691,691,
478.5,0,2985,0,0,746,746,
479.5,0,3221,0,0,805,805,
480.5,0,3470,0,0,867,867,
481.5,0,3732,0,0,933,933,
482.5,0,4007,0,0,1002,1002,
483.5,0,4296,0,0,1074,1074,
484.5,0,4599,0,0,1150,1150,
485.5,0,4916,0,0,1229,1229,
486.5,0,5246,0,0,1311,1311,
487.5,0,5590,0,0,1397,1397,
488.5,0,5947,0,0,1487,1487,
489.5,0,6317,0,0,1579,1579,
490.5,0,6700,0,0,1675,1675,
491.5,0,7095,0,0,1774,1774,
492.5,0,7503,0,0,1876,1876,
493.5,0,7922,0,0,1980,1980,
494.5,0,8351,0,0,2088,2088,
495.5,0,8791,0,0,2198,2198,
496.5,0,9240,0,0,2310,2310,
497.5,0,9698,0,0,2424,2424,
498.5,0,10163,0,0,2541,2541,
499.5,0,10635,0,0,2659,2659,
500.5,0,11112,0,0,2778,2778,
501.5,0,11594,0,0,2899,2899,
502.5,0,12079,0,0,3020,3020,
503.5,0,12566,0,0,3142,3142,
504.5,0,13054,0,0,3264,3264,
505.5,0,13542,0,0,3385,3385,
506.5,0,14027,0,0,3507,3507,
507.5,0,14510,0,0,3627,3627,
508.5,0,14987,0,0,3747,3747,
509.5,0,15458,0,0,3865,3865,
510.5,0,15922,0,0,3980,3980,
511.5,0,16376,0,0,4094,4094,
512.5,0,16820,0,0,4205,4205,
513.5,0,17252,0,0,4313,4313,
514.5,0,17670,0,0,4418,4418,
515.5,0,18074,0,0,4518,4518,
516.5,0,18461,0,0,4615,4615,
517.5,0,18831,0,0,4708,4708,
518.5,0,19181,0,0,4795,4795,
519.5,0,19512,0,0,4878,4878,
520.5,0,19822,0,0,4955,4955,
521.5,0,20109,0,0,5027,5027,
522.5,0,20373,0,0,5093,5093,
