NTA Experiment Summary File,
61.5,3788,6,6761,4,2640,1638,
62.5,5011,4,7877,17,3227,1947,
63.5,6601,3,9105,61,3942,2315,
64.5,8624,2,10443,191,4815,2750,
65.5,11136,1,11886,531,5889,3252,
66.5,14167,1,13429,1310,7227,3806,
67.5,17713,0,15063,2863,8910,4390,
68.5,21723,0,16780,5553,11014,4992,
69.5,26101,0,18570,9600,13568,5641,
70.5,30704,0,20419,14876,16500,6403,
71.5,35363,0,22316,20802,19621,7311,
72.5,39894,0,24246,26455,22649,8303,
73.5,44127,0,26193,30868,25297,9248,
74.5,47924,1,28141,33361,27357,10033,
75.5,51194,1,30070,33732,28749,10633,
76.5,53898,2,31962,32246,29527,11102,
77.5,56051,2,33798,29455,29827,11522,
78.5,57710,4,35558,25987,29814,11953,
79.5,58964,6,37222,22379,29643,12411,
80.5,59921,9,38773,19006,29427,12882,
81.5,60698,16,40192,16074,29245,13345,
82.5,61408,27,41466,13663,29141,13785,
83.5,62155,49,42583,11768,29139,14197,
84.5,63033,89,43534,10346,29251,14586,
85.5,64122,166,44314,9343,29486,14958,
86.5,65487,312,44923,8710,29858,15320,
87.5,67181,584,45364,8414,30386,15677,
88.5,69245,1088,45643,8441,31104,16023,
89.5,71708,1998,45772,8805,32071,16341,
90.5,74588,3600,45764,9549,33375,16599,
91.5,77889,6325,45634,10749,35149,16740,
92.5,81605,10786,45403,12529,37581,16695,
93.5,85716,17777,45088,15068,40912,16401,
94.5,90190,28219,44711,18614,45434,15862,
95.5,94979,43035,44292,23501,51452,15270,
96.5,100022,62939,43851,30159,59243,15164,
97.5,105247,88200,43407,39108,68990,16409,
98.5,110571,118414,42980,50941,80726,19628,
99.5,115903,152410,42586,66259,94290,24671,
100.5,121152,188313,42242,85573,109320,30881,
101.5,126226,223796,41963,109154,125285,37537,
102.5,131041,256452,41762,136853,141527,44057,
103.5,135520,284192,41654,167935,157325,50052,
104.5,139607,305551,41649,200979,171947,55315,
105.5,143257,319851,41760,233909,184694,59747,
106.5,146449,327180,41997,264193,194955,63263,
107.5,149180,328252,42373,289200,202251,65710,
108.5,151466,324189,42897,306642,206299,66879,
109.5,153341,316295,43583,314989,207052,66578,
110.5,154853,305868,44441,313733,204724,64737,
111.5,156062,294075,45485,303440,199766,61478,
112.5,157038,281874,46729,285581,192805,57124,
113.5,157854,269999,48188,262202,184561,52153,
114.5,158586,258970,49878,235549,175746,47117,
115.5,159312,249123,51816,207724,166994,42553,
116.5,160106,240643,54021,180460,158807,38888,
117.5,161038,233603,56513,155007,151540,36362,
118.5,162175,227990,59314,132134,145403,34987,
119.5,163579,223728,62446,112195,140487,34585,
120.5,165305,220698,65932,95232,136792,34883,
121.5,167403,218743,69797,81083,134256,35613,
122.5,169918,217680,74063,69468,132782,36564,
123.5,172889,217303,78755,60063,132252,37592,
124.5,176349,217390,83896,52541,132544,38606,
125.5,180324,217703,89507,46603,133534,39549,
126.5,184837,218002,95605,41990,135109,40390,
127.5,189901,218045,102207,38485,137160,41112,
128.5,195523,217604,109323,35916,139591,41712,
129.5,201702,216470,116958,34152,142321,42198,
130.5,208427,214474,125110,33097,145277,42590,
131.5,215677,211486,133770,32684,148404,42925,
132.5,223421,207434,142920,32877,151663,43249,
133.5,231614,202301,152533,33662,155027,43623,
134.5,240198,196129,162570,35049,158486,44109,
135.5,249104,189014,172983,37065,162041,44764,
136.5,258245,181099,183712,39759,165704,45632,
137.5,267524,172561,194686,43196,169492,46731,
138.5,276829,163597,205824,47456,173426,48051,
139.5,286038,154412,217036,52635,177530,49555,
140.5,295021,145205,228222,58838,181821,51180,
141.5,303641,136159,239277,66180,186314,52851,
142.5,311758,127435,250091,74775,191015,54485,
143.5,319235,119164,260552,84733,195921,56004,
144.5,325942,111450,270546,96153,201023,57343,
145.5,331756,104366,279964,109107,206298,58454,
