NTA Experiment Summary File,
39.5,25121,0,0,0,6280,6280,
40.5,24234,0,0,0,6059,6058,
41.5,23640,0,0,1,5910,5910,
42.5,23408,0,0,3,5853,5852,
43.5,23599,0,0,6,5902,5899,
44.5,24273,0,2,15,6072,6067,
45.5,25491,0,5,37,6383,6369,
46.5,27323,4,12,93,6858,6822,
47.5,29845,15,30,236,7532,7438,
48.5,33133,57,73,584,8462,8225,
49.5,37255,187,172,1406,9755,9171,
50.5,42253,557,389,3232,11608,10236,
51.5,48123,1506,847,7023,14375,11334,
52.5,54789,3710,1776,14263,18635,12360,
53.5,62085,8350,3571,26824,25208,13276,
54.5,69745,17232,6862,46362,35050,14270,
55.5,77411,32705,12570,73214,48975,15775,
56.5,84666,57253,21877,105230,67257,18038,
57.5,91083,92706,36066,137414,89317,20744,
58.5,96290,139223,56145,163105,113691,23643,
59.5,100025,194425,82295,176449,138298,27699,
60.5,102183,253125,113291,174837,160859,34658,
61.5,102825,308002,146179,159800,179202,44619,
62.5,102162,351147,176524,135944,191444,55362,
63.5,100514,376028,199354,108794,196173,63994,
64.5,98266,379175,210548,82888,192719,68354,
65.5,95816,360965,208139,60897,181454,67580,
66.5,93542,325277,192927,43718,163866,62102,
67.5,91782,278239,168129,31074,142306,53284,
68.5,90833,226591,138257,22146,119457,42934,
69.5,90956,176238,107780,16010,97746,32900,
70.5,92391,131360,80100,11861,78928,24883,
71.5,95373,94174,57124,9083,63938,20326,
72.5,100152,65196,39386,7236,52992,19689,
73.5,106997,43772,26473,6025,45817,21804,
74.5,116202,28633,17505,5256,41899,25223,
75.5,128069,18339,11498,4806,40678,29261,
76.5,142882,11562,7577,4600,41655,33772,
77.5,160849,7215,5062,4596,44430,38810,
78.5,182019,4482,3463,4775,48685,44446,
79.5,206183,2789,2449,5133,54139,50685,
80.5,232750,1749,1807,5677,60496,57425,
81.5,260647,1112,1402,6425,67396,64428,
82.5,288265,722,1150,7401,74385,71310,
83.5,313510,481,1002,8632,80906,77557,
84.5,333972,331,929,10147,86345,82573,
85.5,347242,236,919,11976,90093,85758,
86.5,351318,176,966,14149,91652,86615,
87.5,345022,137,1077,16694,90733,84848,
88.5,328295,113,1268,19642,87329,80446,
89.5,302291,97,1565,23027,81745,73702,
90.5,269206,89,2014,26894,74551,65172,
91.5,231893,86,2680,31301,66490,55586,
92.5,193357,87,3663,36324,58358,45732,
93.5,156280,94,5101,42064,50885,36357,
94.5,122687,106,7191,48651,44659,28126,
95.5,93793,127,10192,56243,40089,21672,
96.5,70049,158,14438,65027,37418,17662,
97.5,51296,206,20333,75216,36763,16574,
98.5,36986,278,28335,87036,38159,18078,
99.5,26378,388,38918,100718,41601,21277,
100.5,18699,558,52509,116467,47058,25518,
101.5,13244,821,69409,134429,54476,30543,
102.5,9422,1229,89697,154652,63750,36282,
103.5,6769,1864,113146,177026,74702,42689,
104.5,4938,2849,139169,201236,87048,49655,
105.5,3677,4368,166806,226705,100389,56965,
106.5,2807,6685,194784,252572,114212,64297,
107.5,2208,10172,221633,277695,127927,71229,
108.5,1796,15325,245844,300706,140918,77282,
109.5,1516,22777,266054,320116,152616,81962,
110.5,1331,33285,281201,334477,162573,84822,
111.5,1218,47683,290645,342559,170526,85527,
112.5,1162,66784,294212,343530,176422,83933,
113.5,1156,91234,292180,337093,180416,80170,
114.5,1199,121324,285196,323543,182815,74751,
115.5,1294,156782,274166,303743,183996,68672,
116.5,1449,196607,260129,279004,184298,63446,
117.5,1680,238986,244139,250914,183930,60799,
118.5,2009,281355,227170,221133,182917,61804,
119.5,2468,320627,210059,191213,181092,66029,
120.5,3103,353570,193469,162456,178150,71818,
121.5,3976,377272,177892,135836,173744,77298,
122.5,5168,389595,163656,111976,167599,81022,
123.5,6787,389515,150955,91177,159609,82143,
124.5,8967,377273,139877,73478,149899,80365,
125.5,11872,354295,130432,58722,138830,75846,
126.5,15693,322922,122584,46635,126958,69073,
127.5,20642,286009,116264,36875,114948,60726,
128.5,26935,246500,111395,29090,103480,51568,
129.5,34769,207059,107896,22937,93165,42358,
130.5,44296,169809,105694,18109,84477,33851,
131.5,55584,136220,104727,14341,77718,26862,
132.5,68585,107107,104946,11410,73012,22355,
133.5,83104,82724,106314,9133,70319,21128,
134.5,98786,62904,108804,7365,69465,22925,
135.5,115121,47206,112392,5991,70177,26536,
136.5,131471,35048,117058,4921,72125,30865,
137.5,147121,25811,122776,4086,74948,35276,
138.5,161344,18903,129505,3432,78296,39424,
139.5,173475,13805,137188,2919,81847,43125,
140.5,182972,10079,145736,2516,85326,46282,
141.5,189474,7377,155029,2197,88519,48863,
142.5,192820,5427,164904,1947,91274,50894,
143.5,193058,4023,175157,1750,93497,52444,
144.5,190415,3012,185541,1597,95141,53609,
145.5,185263,2284,195770,1478,96199,54497,
146.5,178070,1757,205528,1390,96686,55199,
147.5,169342,1375,214483,1327,96632,55777,
148.5,159588,1096,222305,1286,96069,56254,
149.5,149276,892,228682,1265,95029,56612,
150.5,138813,741,233343,1263,93540,56805,
151.5,128532,631,236075,1280,91629,56767,
152.5,118688,550,236736,1316,89322,56435,
153.5,109464,491,235268,1372,86649,55755,
154.5,100977,450,231700,1450,83644,54695,
155.5,93291,422,226142,1553,80352,53245,
156.5,86430,407,218778,1684,76825,51421,
157.5,80387,402,209853,1848,73122,49258,
158.5,75135,407,199651,2051,69311,46810,
159.5,70634,422,188482,2300,65459,44140,
160.5,66838,448,176658,2604,61637,41318,
161.5,63700,485,164480,2976,57910,38412,
162.5,61171,537,152226,3428,54340,35491,
163.5,59211,606,140135,3977,50982,32613,
164.5,57782,695,128409,4644,47883,29831,
165.5,56852,811,117206,5452,45080,27189,
166.5,56394,960,106643,6429,42607,24722,
167.5,56389,1152,96797,7609,40487,22457,
168.5,56821,1397,87711,9030,38740,20417,
169.5,57680,1710,79400,10735,37381,18619,
170.5,58959,2111,71855,12773,36424,17078,
171.5,60656,2621,65051,15198,35881,15808,
172.5,62768,3270,58948,18070,35764,14820,
173.5,65297,4092,53500,21450,36085,14125,
174.5,68241,5129,48656,25404,36857,13730,
175.5,71598,6430,44362,29995,38096,13632,
176.5,75364,8052,40565,35286,39817,13825,
177.5,79528,10059,37213,41333,42033,14294,
178.5,84074,12520,34258,48181,44759,15020,
179.5,88979,15510,31655,55866,48003,15979,
180.5,94207,19103,29362,64403,51769,17151,
181.5,99713,23370,27343,73787,56053,18514,
182.5,105438,28371,25562,83988,60840,20049,
183.5,111312,34152,23990,94949,66101,21738,
184.5,117247,40733,22599,106586,71791,23561,
185.5,123146,48103,21364,118780,77848,25499,
186.5,128895,56210,20266,131388,84190,27531,
187.5,134371,64958,19283,144237,90712,29632,
188.5,139443,74201,18399,157131,97294,31774,
189.5,143976,83744,17599,169856,103794,33924,
190.5,147833,93342,16869,182183,110057,36047,
191.5,150883,102715,16196,193877,115918,38100,
192.5,153005,111554,15570,204706,121209,40037,
193.5,154096,119540,14980,214442,125764,41811,
194.5,154073,126360,14418,222875,129431,43375,
195.5,152878,131730,13876,229815,132075,44681,
196.5,150488,135414,13347,235102,133588,45691,
197.5,146909,137239,12825,238607,133895,46371,
198.5,142185,137111,12305,240239,132960,46698,
199.5,136391,135020,11784,239948,130786,46661,
