NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,BGP6_72h_B_LS 2020-11-03 11-29-46.nano,
Operator Name,EF,
Time Captured,11:29:46  03/11/2020,
Sample Description,BGP6_72h_B_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,BGP6_72h_B_LS 2020-11-03 11-30-23,BGP6_72h_B_LS 2020-11-03 11-31-32,BGP6_72h_B_LS 2020-11-03 11-32-41,BGP6_72h_B_LS 2020-11-03 11-33-50,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,23.500,23.543,23.611,23.623,
Viscosity/cP,0.919920,0.919001,0.917550,0.917294,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,15.6740,17.5426,20.0801,21.6991,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),1.27e+08,1.30e+08,1.19e+08,1.28e+08,1.26e+08,2.41e+06,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,10.6,10.4,9.4,9.8,10.1,0.3,
Centres per frame,11.9,12.0,11.1,11.9,11.7,0.2,
Completed tracks,1635,1910,1791,1897,,,
X-Drift (pix/frame),-11.5,-11.5,-12.0,-12.5,,,
Y-Drift (pix/frame),0.3,0.4,0.5,0.6,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,Be cautious of data due to noise,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,No,No,No,Noise detected,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,OK,OK,Low concentration,Low concentration,
Video length,OK,OK,OK,OK,
Noise level,No,No,No,Noise detected,
Vibration detected,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,
Vibration correction applied,No,No,No,No,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,BGP6_72h_B_LS 2020-11-03 11-30-23,BGP6_72h_B_LS 2020-11-03 11-31-32,BGP6_72h_B_LS 2020-11-03 11-32-41,BGP6_72h_B_LS 2020-11-03 11-33-50,Average,Standard Error,
Mean,152.9,146.7,144.7,136.6,145.2,3.4,
Mode,141.8,138.9,130.5,116.6,131.9,5.7,
SD,48.2,53.6,52.9,49.2,51.0,1.3,
D10,99.7,82.9,88.1,80.8,87.9,4.2,
D50,147.7,140.5,137.1,134.1,139.9,2.9,
D90,217.4,217.0,212.0,190.3,209.2,6.4,
Valid Tracks,609.0,614.0,577.0,652.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,
6.5,0,0,0,1,0,0,
7.5,0,0,0,16,4,4,
8.5,0,0,0,119,30,30,
9.5,0,0,0,548,137,137,
10.5,0,0,0,1782,445,445,
11.5,0,0,0,4427,1107,1107,
12.5,0,0,0,8955,2239,2239,
13.5,0,0,0,15508,3877,3877,
14.5,0,0,0,23933,5983,5983,
15.5,0,0,2,33972,8493,8493,
16.5,0,0,8,45416,11356,11353,
17.5,0,0,29,58122,14538,14528,
18.5,0,0,93,71902,17999,17968,
19.5,0,0,253,86352,21651,21567,
20.5,0,0,604,100713,25329,25128,
21.5,0,0,1284,113831,28779,28352,
22.5,0,0,2467,124292,31690,30873,
23.5,0,0,4331,130716,33762,32334,
24.5,0,0,7031,132137,34792,32491,
25.5,0,0,10657,128312,34742,31291,
26.5,0,0,15216,119813,33757,28909,
27.5,0,0,20628,107870,32125,25712,
28.5,0,0,26747,94032,30195,22193,
29.5,0,0,33381,79796,28294,18884,
30.5,0,0,40329,66343,26668,16287,
31.5,0,0,47400,54420,25455,14766,
32.5,2,0,54433,44365,24700,14407,
33.5,5,1,61297,36205,24377,14975,
34.5,11,3,67895,29778,24422,16101,
35.5,26,8,74152,24837,24756,17474,
36.5,56,19,80010,21117,25300,18901,
37.5,119,42,85414,18377,25988,20273,
38.5,244,90,90315,16419,26767,21526,
39.5,482,179,94658,15088,27602,22621,
40.5,923,334,98390,14270,28479,23525,
41.5,1710,588,101462,13888,29412,24205,
42.5,3061,976,103832,13895,30441,24627,
43.5,5291,1535,105479,14268,31643,24756,
44.5,8825,2298,106402,15007,33133,24560,
45.5,14199,3286,106631,16132,35062,24023,
46.5,22027,4509,106223,17683,37610,23172,
47.5,32938,5965,105266,19719,40972,22127,
48.5,47477,7645,103874,22320,45329,21177,
49.5,65982,9538,102177,25589,50821,20833,
50.5,88450,11641,100317,29654,57516,21736,
51.5,114448,13966,98441,34667,65380,24302,
52.5,143066,16547,96693,40811,74279,28412,
53.5,172975,19444,95210,48294,83981,33522,
54.5,202551,22753,94121,57352,94194,38947,
55.5,230073,26606,93546,68238,104616,44037,
56.5,253945,31181,93598,81218,114986,48245,
57.5,272897,36711,94382,96558,125137,51165,
58.5,286126,43492,96004,114504,135031,52562,
59.5,293352,51897,98570,135260,144770,52382,
60.5,294797,62391,102193,158970,154588,50764,
61.5,291095,75539,106988,185686,164827,48042,
62.5,283155,92019,113082,215352,175902,44761,
63.5,272030,112613,120602,247783,188257,41694,
64.5,258784,138195,129683,282663,202331,39824,
65.5,244400,169683,140452,319542,218519,40161,
66.5,229721,207971,153025,357857,237143,43353,
67.5,215416,253823,167494,396960,258423,49440,
68.5,201988,307744,183913,436149,282449,58057,
69.5,189782,369825,202289,474718,309153,68776,
70.5,179018,439605,222562,511992,338294,81239,
71.5,169817,515959,244600,547377,369438,95116,
72.5,162229,597058,268194,580380,401965,110023,
73.5,156259,680414,293056,610642,435092,125473,
74.5,151888,763040,318831,637937,467924,140862,
75.5,149086,841686,345116,662179,499517,155505,
76.5,147826,913145,371476,683411,528964,168700,
77.5,148086,974566,397481,701779,555478,179808,
78.5,149862,1023729,422725,717521,578459,188315,
79.5,153162,1059229,446860,730937,597547,193892,
80.5,158012,1080558,469612,742365,612637,196409,
81.5,164456,1088075,490797,752165,623873,195941,
82.5,172549,1082876,510325,760697,631612,192733,
83.5,182362,1066611,528197,768307,636369,187159,
84.5,193972,1041271,544498,775319,638765,179672,
85.5,207464,1008982,559380,782025,639463,170759,
86.5,222921,971834,573045,788682,639121,160897,
87.5,240424,931749,585731,795510,638353,150526,
88.5,260040,890402,597692,802688,637706,140032,
89.5,281821,849177,609184,810362,637636,129743,
90.5,305795,809168,620454,818638,638514,119929,
91.5,331956,771190,631733,827589,640617,110814,
92.5,360267,735819,643225,837257,644142,102585,
93.5,390645,703431,655106,847653,649209,95398,
94.5,422964,674239,667523,858761,655872,89388,
95.5,457048,648339,680592,870539,664129,84660,
96.5,492674,625736,694401,882921,673933,81278,
97.5,529575,606378,709008,895824,685196,79247,
98.5,567442,590176,724448,909143,697802,78503,
99.5,605934,577021,740731,922758,711611,78906,
100.5,644686,566798,757845,936538,726467,80258,
101.5,683323,559394,775762,950340,742205,82327,
102.5,721466,554705,794438,964016,758656,84869,
103.5,758753,552641,813811,977413,775655,87647,
104.5,794844,553124,833813,990382,793041,90447,
105.5,829433,556096,854361,1002774,810666,93083,
106.5,862263,561510,875365,1014451,828397,95393,
107.5,893124,569336,896730,1025285,846119,97245,
108.5,921860,579558,918351,1035164,863733,98533,
109.5,948375,592168,940122,1043991,881164,99174,
110.5,972625,607167,961932,1051692,898354,99105,
111.5,994616,624562,983665,1058211,915264,98284,
112.5,1014402,644361,1005204,1063518,931871,96688,
113.5,1032075,666567,1026433,1067602,948170,94309,
114.5,1047760,691180,1047231,1070480,964163,91155,
115.5,1061602,718185,1067479,1072184,979863,87253,
116.5,1073768,747551,1087059,1072773,995288,82643,
117.5,1084429,779224,1105854,1072319,1010456,77389,
118.5,1093761,813123,1123750,1070911,1025386,71577,
119.5,1101936,849131,1140636,1068653,1040089,65330,
120.5,1109122,887097,1156408,1065655,1054570,58820,
121.5,1115471,926822,1170965,1062038,1068824,52297,
122.5,1121124,968061,1184216,1057923,1082831,46132,
123.5,1126208,1010522,1196078,1053435,1096561,40871,
124.5,1130831,1053858,1206477,1048696,1109966,37251,
125.5,1135087,1097673,1215351,1043825,1122984,36038,
126.5,1139050,1141524,1222649,1038935,1135540,37604,
127.5,1142782,1184924,1228332,1034131,1147543,41643,
128.5,1146327,1227350,1232378,1029510,1158891,47420,
129.5,1149716,1268253,1234773,1025157,1169475,54190,
130.5,1152968,1307069,1235521,1021147,1179176,61367,
131.5,1156088,1343233,1234639,1017545,1187876,68524,
132.5,1159072,1376193,1232154,1014402,1195455,75342,
133.5,1161908,1405427,1228109,1011759,1201801,81580,
134.5,1164573,1430456,1222556,1009643,1206807,87046,
135.5,1167039,1450863,1215559,1008070,1210383,91591,
136.5,1169274,1466302,1207191,1007046,1212453,95098,
137.5,1171237,1476512,1197530,1006564,1212961,97484,
138.5,1172886,1481325,1186663,1006608,1211870,98697,
139.5,1174176,1480670,1174681,1007150,1209169,98716,
140.5,1175059,1474578,1161678,1008154,1204867,97551,
141.5,1175487,1463175,1147749,1009575,1198997,95241,
142.5,1175410,1446682,1132992,1011359,1191611,91856,
143.5,1174780,1425403,1117500,1013444,1182782,87496,
144.5,1173549,1399717,1101367,1015763,1172599,82288,
145.5,1171671,1370060,1084683,1018242,1161164,76389,
146.5,1169105,1336917,1067534,1020802,1148589,69993,
147.5,1165809,1300802,1050003,1023360,1134993,63330,
